in s,C1 in V
-1.9800E-07,3.94999292213E-02
-1.9780E-07,4.65634032618E-02
-1.9760E-07,4.75696716923E-02
-1.9740E-07,4.72294316161E-02
-1.9720E-07,4.55169762019E-02
-1.9700E-07,4.24469551537E-02
-1.9680E-07,4.19400386047E-02
-1.9660E-07,4.02571782935E-02
-1.9640E-07,3.81960613187E-02
-1.9620E-07,4.22357800882E-02
-1.9600E-07,4.38324930612E-02
-1.9580E-07,4.37856032979E-02
-1.9560E-07,4.43906859029E-02
-1.9540E-07,4.31865905877E-02
-1.9520E-07,4.12477818783E-02
-1.9500E-07,4.24242588226E-02
-1.9480E-07,4.46374491323E-02
-1.9460E-07,4.56469911616E-02
-1.9440E-07,4.10071141552E-02
-1.9420E-07,4.50632451568E-02
-1.9400E-07,4.45043934043E-02
-1.9380E-07,4.57282257732E-02
-1.9360E-07,4.40561571624E-02
-1.9340E-07,4.51350571122E-02
-1.9320E-07,4.57605682779E-02
-1.9300E-07,4.44806120824E-02
-1.9280E-07,4.59455778357E-02
-1.9260E-07,5.09233875666E-02
-1.9240E-07,4.87324675079E-02
-1.9220E-07,4.59381179418E-02
-1.9200E-07,4.78473059367E-02
-1.9180E-07,4.98645948712E-02
-1.9160E-07,5.14086555224E-02
-1.9140E-07,4.52951561194E-02
-1.9120E-07,4.22933591064E-02
-1.9100E-07,4.35912129935E-02
-1.9080E-07,4.38307933975E-02
-1.9060E-07,4.51968200970E-02
-1.9040E-07,4.62716478389E-02
-1.9020E-07,4.57679676358E-02
-1.9000E-07,4.21346803661E-02
-1.8980E-07,4.66008633841E-02
-1.8960E-07,4.87793526147E-02
-1.8940E-07,4.66970783193E-02
-1.8920E-07,4.23069401178E-02
-1.8900E-07,4.59364671726E-02
-1.8880E-07,4.68766233418E-02
-1.8860E-07,4.63477438781E-02
-1.8840E-07,4.62956666481E-02
-1.8820E-07,4.24312367570E-02
-1.8800E-07,4.23048306722E-02
-1.8780E-07,4.27040770184E-02
-1.8760E-07,4.47297827806E-02
-1.8740E-07,4.41231797915E-02
-1.8720E-07,4.21844525728E-02
-1.8700E-07,4.42021606024E-02
-1.8680E-07,4.57290546503E-02
-1.8660E-07,4.25427626353E-02
-1.8640E-07,4.36006612610E-02
-1.8620E-07,4.17721444275E-02
-1.8600E-07,4.16686698329E-02
-1.8580E-07,4.49299752247E-02
-1.8560E-07,4.24520401750E-02
-1.8540E-07,4.37876801472E-02
-1.8520E-07,4.51276507694E-02
-1.8500E-07,4.47957460303E-02
-1.8480E-07,4.35410030652E-02
-1.8460E-07,4.50171027798E-02
-1.8440E-07,4.80019706767E-02
-1.8420E-07,4.88022841047E-02
-1.8400E-07,4.54830807168E-02
-1.8380E-07,4.22606813256E-02
-1.8360E-07,4.54444494564E-02
-1.8340E-07,4.90476037841E-02
-1.8320E-07,4.78918813635E-02
-1.8300E-07,4.67398004141E-02
-1.8280E-07,4.69699744601E-02
-1.8260E-07,4.70361076761E-02
-1.8240E-07,4.90960488561E-02
-1.8220E-07,4.60535902996E-02
-1.8200E-07,4.39768783282E-02
-1.8180E-07,4.43032323848E-02
-1.8160E-07,4.47130981367E-02
-1.8140E-07,4.16584718507E-02
-1.8120E-07,4.55099610146E-02
-1.8100E-07,4.92268624250E-02
-1.8080E-07,4.72029727418E-02
-1.8060E-07,4.45724614430E-02
-1.8040E-07,4.26877928432E-02
-1.8020E-07,4.11484912503E-02
-1.8000E-07,3.82163571659E-02
-1.7980E-07,3.87754557189E-02
-1.7960E-07,4.18484360445E-02
-1.7940E-07,4.33681821916E-02
-1.7920E-07,4.57157460507E-02
-1.7900E-07,4.72380137537E-02
-1.7880E-07,4.77521270979E-02
-1.7860E-07,4.89898710977E-02
-1.7840E-07,4.79374183807E-02
-1.7820E-07,4.49286038522E-02
-1.7800E-07,4.48195995297E-02
-1.7780E-07,4.74874079693E-02
-1.7760E-07,4.80392142665E-02
-1.7740E-07,4.40091114026E-02
-1.7720E-07,4.28196611348E-02
-1.7700E-07,4.38270937186E-02
-1.7680E-07,4.31193327997E-02
-1.7660E-07,4.60459371563E-02
-1.7640E-07,4.38049096148E-02
-1.7620E-07,4.69711851794E-02
-1.7600E-07,4.41801371518E-02
-1.7580E-07,4.46380149107E-02
-1.7560E-07,4.97105448041E-02
-1.7540E-07,4.80315401684E-02
-1.7520E-07,4.54257904086E-02
-1.7500E-07,4.64669368695E-02
