in s,C1 in V,C3 in V
-2.0600E-07,1.853072150610E-02,1.15949874045E-04
-2.0580E-07,1.848171018995E-02,1.02437314810E-04
-2.0560E-07,1.868081671186E-02,7.54339427222E-05
-2.0540E-07,1.933499352075E-02,6.08455545735E-05
-2.0520E-07,1.853605658747E-02,7.89647845086E-05
-2.0500E-07,1.781906020828E-02,1.07004148187E-04
-2.0480E-07,1.882106457837E-02,1.02022922831E-04
-2.0460E-07,1.976810927503E-02,8.45599027816E-05
-2.0440E-07,1.912664781325E-02,9.28659962956E-05
-2.0420E-07,1.830041940324E-02,9.52652695123E-05
-2.0400E-07,1.775982576422E-02,7.44512577076E-05
-2.0380E-07,1.794563346542E-02,7.89489520248E-05
-2.0360E-07,1.790266177617E-02,1.01544595556E-04
-2.0340E-07,1.901831590570E-02,9.74890349899E-05
-2.0320E-07,1.984981699847E-02,1.01306840545E-04
-2.0300E-07,1.827766253613E-02,9.03453484643E-05
-2.0280E-07,1.677809349261E-02,7.59631784167E-05
-2.0260E-07,1.825414058752E-02,1.15067504114E-04
-2.0240E-07,1.975199134089E-02,1.39112669742E-04
-2.0220E-07,1.875695931725E-02,1.19946889346E-04
-2.0200E-07,1.924694814719E-02,9.89714327734E-05
-2.0180E-07,1.946683573537E-02,9.38302061986E-05
-2.0160E-07,1.959864814766E-02,9.91813528817E-05
-2.0140E-07,1.907836013474E-02,1.22650146252E-04
-2.0120E-07,1.956212074496E-02,1.00101220189E-04
-2.0100E-07,2.074305593036E-02,7.78580007609E-05
-2.0080E-07,1.982251294889E-02,1.09840537654E-04
-2.0060E-07,1.820666455664E-02,1.52083443711E-04
-2.0040E-07,1.863736725412E-02,1.38606577413E-04
-2.0020E-07,1.867375169881E-02,1.26671608770E-04
-2.0000E-07,1.815463249572E-02,1.33373603923E-04
-1.9980E-07,1.813564748503E-02,1.53427737998E-04
-1.9960E-07,1.864987631328E-02,1.51914105983E-04
-1.9940E-07,1.969239926897E-02,1.36654816335E-04
-1.9920E-07,1.841337160207E-02,1.50273860665E-04
-1.9900E-07,1.782476129942E-02,1.24833399197E-04
-1.9880E-07,1.835982847027E-02,9.92641591001E-05
-1.9860E-07,1.904314356856E-02,1.04022158077E-04
-1.9840E-07,1.911388357170E-02,1.13304836443E-04
-1.9820E-07,1.826358280145E-02,1.35519732023E-04
-1.9800E-07,1.850199067034E-02,1.38868733076E-04
-1.9780E-07,1.889165836386E-02,1.35415039724E-04
-1.9760E-07,1.926277783699E-02,1.15693934960E-04
-1.9740E-07,1.969505214132E-02,1.42216383712E-04
-1.9720E-07,1.935096896254E-02,1.66480188956E-04
-1.9700E-07,1.879154072143E-02,1.18113254895E-04
-1.9680E-07,1.962482436560E-02,6.52589292731E-05
-1.9660E-07,2.016482056119E-02,8.52361128200E-05
-1.9640E-07,1.810536879115E-02,1.12967127236E-04
-1.9620E-07,1.722014854662E-02,1.51039244840E-04
-1.9600E-07,1.923735599034E-02,1.60979157547E-04
-1.9580E-07,1.991329734214E-02,1.40546475770E-04
-1.9560E-07,1.966021834873E-02,1.17211804492E-04
-1.9540E-07,1.910379222594E-02,1.16270295577E-04
-1.9520E-07,1.904817922972E-02,1.09170928365E-04
-1.9500E-07,1.783017042093E-02,1.17518943036E-04
-1.9480E-07,1.762450226583E-02,1.20541329263E-04
-1.9460E-07,1.956086439081E-02,1.17556277430E-04
-1.9440E-07,1.864460456185E-02,1.29303014139E-04
-1.9420E-07,1.825297410600E-02,1.38753155945E-04
-1.9400E-07,1.902742330916E-02,1.09977674903E-04
-1.9380E-07,1.945393132977E-02,9.37810207252E-05
-1.9360E-07,2.032172606327E-02,7.65542772133E-05
-1.9340E-07,1.968187066726E-02,9.10214886535E-05
-1.9320E-07,1.964458004571E-02,1.12105537439E-04
-1.9300E-07,1.886303369887E-02,1.14649666240E-04
-1.9280E-07,1.822478297167E-02,1.05713102268E-04
