in s,C1 in V,C3 in V
-2.0600E-07,1.656655055471E-02,1.30553951254E-04
-2.0580E-07,1.555971401744E-02,7.67201653216E-05
-2.0560E-07,1.522107581608E-02,7.94144931715E-05
-2.0540E-07,1.559382044710E-02,1.02231034776E-04
-2.0520E-07,1.632316383533E-02,1.05904834578E-04
-2.0500E-07,1.537883161567E-02,1.04491738835E-04
-2.0480E-07,1.582774027251E-02,1.28132233163E-04
-2.0460E-07,1.592461318709E-02,1.41402159585E-04
-2.0440E-07,1.603311832063E-02,1.16536929505E-04
-2.0420E-07,1.576234885491E-02,1.22860842617E-04
-2.0400E-07,1.539093461819E-02,1.21318246471E-04
-2.0380E-07,1.613980970345E-02,1.35068339529E-04
-2.0360E-07,1.670758678578E-02,1.40441698255E-04
-2.0340E-07,1.597016696818E-02,1.47393509047E-04
-2.0320E-07,1.495795250870E-02,1.74711051164E-04
-2.0300E-07,1.566221258603E-02,1.76640518708E-04
-2.0280E-07,1.621982707642E-02,1.48742611287E-04
-2.0260E-07,1.625200008042E-02,1.37269636849E-04
-2.0240E-07,1.621317370795E-02,1.68179173721E-04
-2.0220E-07,1.546205646358E-02,1.65244401665E-04
-2.0200E-07,1.430410864763E-02,1.26373011386E-04
-2.0180E-07,1.405431629159E-02,1.29086082103E-04
-2.0160E-07,1.406479925849E-02,1.31170137553E-04
-2.0140E-07,1.573345969431E-02,1.55384489568E-04
-2.0120E-07,1.657380136661E-02,1.65579316905E-04
-2.0100E-07,1.644430887885E-02,1.55832513934E-04
-2.0080E-07,1.604391979985E-02,1.63857161766E-04
-2.0060E-07,1.597047151066E-02,1.48143817438E-04
-2.0040E-07,1.579038073309E-02,1.23836181825E-04
-2.0020E-07,1.538121114485E-02,1.48031057557E-04
-2.0000E-07,1.532674414106E-02,1.80400780169E-04
-1.9980E-07,1.458412707783E-02,1.80794787826E-04
-1.9960E-07,1.515469207428E-02,1.66841561673E-04
-1.9940E-07,1.505520633422E-02,1.46597414510E-04
-1.9920E-07,1.517872718163E-02,1.23429054162E-04
-1.9900E-07,1.599513200112E-02,1.51578872697E-04
-1.9880E-07,1.559023858048E-02,1.48316985229E-04
-1.9860E-07,1.485918900929E-02,1.61230261670E-04
-1.9840E-07,1.512834076770E-02,1.79059908492E-04
-1.9820E-07,1.552599920891E-02,1.79905130295E-04
-1.9800E-07,1.623098525219E-02,1.46007386735E-04
-1.9780E-07,1.478076699190E-02,1.35530159110E-04
-1.9760E-07,1.491760482080E-02,1.33339665132E-04
-1.9740E-07,1.551984083839E-02,1.30717002554E-04
-1.9720E-07,1.517032152973E-02,1.43488217378E-04
-1.9700E-07,1.437192383222E-02,1.78692187415E-04
-1.9680E-07,1.431409847923E-02,1.49710697820E-04
-1.9660E-07,1.528025298379E-02,1.38811022276E-04
-1.9640E-07,1.596188425086E-02,1.70126708923E-04
-1.9620E-07,1.532864916138E-02,1.78429996828E-04
-1.9600E-07,1.520511480980E-02,1.79677037755E-04
-1.9580E-07,1.551506827585E-02,1.73021736788E-04
-1.9560E-07,1.578447335400E-02,1.43240380799E-04
-1.9540E-07,1.561647393741E-02,1.39034656109E-04
-1.9520E-07,1.529539768584E-02,1.60617463058E-04
-1.9500E-07,1.612053412013E-02,1.67993561132E-04
-1.9480E-07,1.514638374560E-02,1.60471676150E-04
-1.9460E-07,1.540397965349E-02,1.42269290751E-04
-1.9440E-07,1.564163873903E-02,1.74406531965E-04
-1.9420E-07,1.534981253557E-02,1.82124274084E-04
-1.9400E-07,1.604030813090E-02,1.73160888022E-04
-1.9380E-07,1.644558199681E-02,1.46250124322E-04
-1.9360E-07,1.563856444322E-02,1.67340040440E-04
-1.9340E-07,1.682814509608E-02,1.85067707440E-04
-1.9320E-07,1.644741297699E-02,1.98730605422E-04
-1.9300E-07,1.486682771705E-02,1.94305950077E-04
-1.9280E-07,1.533632279374E-02,1.69023394352E-04
-1.9260E-07,1.568068397231E-02,1.66821142426E-04
-1.9240E-07,1.588018444367E-02,1.98237120872E-04
-1.9220E-07,1.619406529702E-02,2.02826678520E-04
-1.9200E-07,1.657897439785E-02,1.85709691374E-04
-1.9180E-07,1.572857304476E-02,2.11946154246E-04
-1.9160E-07,1.528013517149E-02,2.26636871463E-04
-1.9140E-07,1.493609250523E-02,2.22956808517E-04
-1.9120E-07,1.532984311692E-02,1.96777784964E-04
-1.9100E-07,1.580381878652E-02,1.71183527214E-04
-1.9080E-07,1.592109045945E-02,1.90916785737E-04
-1.9060E-07,1.563511203043E-02,2.25564535009E-04
-1.9040E-07,1.632909636013E-02,2.18337332131E-04
-1.9020E-07,1.559961699881E-02,2.21911969362E-04
-1.9000E-07,1.490416350774E-02,2.33030156465E-04
-1.8980E-07,1.552855755202E-02,2.30813422473E-04
-1.8960E-07,1.627756767906E-02,2.31742428383E-04
-1.8940E-07,1.471965872683E-02,2.40225764224E-04
-1.8920E-07,1.384534473531E-02,2.13661522372E-04
-1.8900E-07,1.465130803175E-02,2.15455692029E-04
-1.8880E-07,1.503628791310E-02,2.24889966426E-04
-1.8860E-07,1.513185557909E-02,2.41404643981E-04
-1.8840E-07,1.444078349508E-02,2.15205794899E-04
-1.8820E-07,1.482209117152E-02,1.90485944273E-04
-1.8800E-07,1.544977418147E-02,2.09804100683E-04
-1.8780E-07,1.497508511879E-02,2.08760763286E-04
-1.8760E-07,1.502201818861E-02,1.94475206314E-04
-1.8740E-07,1.498364676721E-02,2.14753893903E-04
-1.8720E-07,1.603450180031E-02,2.30711780256E-04
-1.8700E-07,1.555095911957E-02,2.05012143357E-04
-1.8680E-07,1.431606822647E-02,2.06327555003E-04
-1.8660E-07,1.463990165852E-02,2.36810022267E-04
-1.8640E-07,1.532406379469E-02,2.29397742311E-04
-1.8620E-07,1.427915944718E-02,2.40484683542E-04
-1.8600E-07,1.472419706173E-02,2.69364053616E-04
-1.8580E-07,1.513446281664E-02,2.82271928387E-04
-1.8560E-07,1.514532017522E-02,2.19647714635E-04
-1.8540E-07,1.565449099056E-02,1.83059007628E-04
-1.8520E-07,1.663409006782E-02,2.20998213859E-04
-1.8500E-07,1.623777366243E-02,2.42018327350E-04
-1.8480E-07,1.536253766157E-02,2.25843151798E-04
-1.8460E-07,1.553687146865E-02,2.09816894727E-04
-1.8440E-07,1.638433077373E-02,2.05378257902E-04
-1.8420E-07,1.552698221989E-02,2.20031058649E-04
-1.8400E-07,1.531524929218E-02,2.49890843639E-04
-1.8380E-07,1.626403975300E-02,2.44368869113E-04
-1.8360E-07,1.690482786857E-02,2.47339392314E-04
-1.8340E-07,1.637341753580E-02,2.56770837819E-04
-1.8320E-07,1.562947194092E-02,2.89961800678E-04
-1.8300E-07,1.618502588011E-02,3.02823831094E-04
-1.8280E-07,1.548458050005E-02,2.77255731868E-04
-1.8260E-07,1.583076939918E-02,2.61795777129E-04
-1.8240E-07,1.554538375698E-02,2.79341067886E-04
-1.8220E-07,1.570071346126E-02,2.72483914392E-04
-1.8200E-07,1.602434619330E-02,2.51729600364E-04
-1.8180E-07,1.566157230176E-02,2.51037196955E-04
-1.8160E-07,1.632719180547E-02,2.88048433373E-04
-1.8140E-07,1.632517642342E-02,2.98963452457E-04
-1.8120E-07,1.588333417661E-02,2.90065747919E-04
-1.8100E-07,1.651306702755E-02,2.42900708923E-04
