in s,C1 in V,C3 in V
-2.0600E-07,1.636913997121E-02,4.18281338643E-05
-2.0580E-07,1.635413450189E-02,4.43345906679E-05
-2.0560E-07,1.539379936643E-02,4.08509203699E-05
-2.0540E-07,1.603438072838E-02,3.39410074521E-05
-2.0520E-07,1.614943445660E-02,2.23541206215E-05
-2.0500E-07,1.563002048992E-02,-3.25856567360E-06
-2.0480E-07,1.578435740434E-02,1.72234645579E-05
-2.0460E-07,1.618254576810E-02,2.70098138135E-05
-2.0440E-07,1.606072225608E-02,1.74254684243E-05
-2.0420E-07,1.514828597195E-02,6.02363538929E-06
-2.0400E-07,1.600391902961E-02,2.11640999187E-05
-2.0380E-07,1.766888211481E-02,1.58709280659E-05
-2.0360E-07,1.696121945046E-02,1.37675360311E-05
-2.0340E-07,1.515778918751E-02,2.75352078024E-05
-2.0320E-07,1.543386393227E-02,1.64855893236E-05
-2.0300E-07,1.585521009751E-02,2.24949249532E-05
-2.0280E-07,1.608205513097E-02,4.00390399154E-05
-2.0260E-07,1.582049411722E-02,8.37403745391E-06
-2.0240E-07,1.507923399098E-02,-9.63203678838E-06
-2.0220E-07,1.482565348037E-02,1.05896422174E-05
-2.0200E-07,1.503084200434E-02,7.51930451953E-06
-2.0180E-07,1.559128026478E-02,3.04771976080E-05
-2.0160E-07,1.583656688221E-02,3.03525982890E-05
-2.0140E-07,1.712223161943E-02,1.30846786778E-05
-2.0120E-07,1.734323120676E-02,2.36925126519E-05
-2.0100E-07,1.671446367167E-02,3.37853368837E-05
-2.0080E-07,1.523498884402E-02,5.77571731993E-06
-2.0060E-07,1.542172507383E-02,-1.43279863987E-05
-2.0040E-07,1.741997172125E-02,-4.10387718584E-05
-2.0020E-07,1.721381601877E-02,-1.73898374196E-05
-2.0000E-07,1.733430587687E-02,3.03693271708E-05
-1.9980E-07,1.832722892053E-02,2.93655593414E-05
-1.9960E-07,1.837432730012E-02,1.50586285163E-05
-1.9940E-07,1.716949763708E-02,2.03662940767E-05
-1.9920E-07,1.584179672413E-02,4.74279669579E-05
-1.9900E-07,1.610791237093E-02,4.77411125321E-05
-1.9880E-07,1.662279452197E-02,3.11046645511E-05
-1.9860E-07,1.642871900462E-02,2.13207367342E-05
-1.9840E-07,1.601611004211E-02,-6.76730019040E-06
-1.9820E-07,1.596811898984E-02,2.50750849955E-06
-1.9800E-07,1.608666797169E-02,2.46783874463E-05
-1.9780E-07,1.574561298825E-02,2.08376480732E-05
-1.9760E-07,1.592572518624E-02,-1.34053011424E-06
-1.9740E-07,1.701271972619E-02,-8.59868782572E-06
-1.9720E-07,1.727766842581E-02,-1.65032066870E-05
-1.9700E-07,1.697968524881E-02,1.92219780292E-05
-1.9680E-07,1.637330344878E-02,4.46575966198E-05
-1.9660E-07,1.703657927923E-02,3.72529425659E-06
-1.9640E-07,1.700211335905E-02,1.28075876274E-06
-1.9620E-07,1.631077771075E-02,8.91250488349E-06
-1.9600E-07,1.720494610257E-02,-3.39824666735E-05
-1.9580E-07,1.786864568479E-02,-1.95901684929E-05
-1.9560E-07,1.760261339135E-02,9.05769807287E-06
-1.9540E-07,1.618528245948E-02,1.55346165412E-06
-1.9520E-07,1.565004997887E-02,-1.88059017528E-05
-1.9500E-07,1.562798275612E-02,-1.11522346269E-05
-1.9480E-07,1.538595995866E-02,-2.58952456061E-05
-1.9460E-07,1.582402522676E-02,-4.00788227562E-05
-1.9440E-07,1.748238616623E-02,-4.84969776589E-05
-1.9420E-07,1.727325302549E-02,-8.40569450520E-06
-1.9400E-07,1.654659370892E-02,1.87272245530E-05
-1.9380E-07,1.623177082278E-02,3.60052722972E-05
-1.9360E-07,1.637994284742E-02,2.57679184433E-05
-1.9340E-07,1.605750686489E-02,4.19704406523E-06
-1.9320E-07,1.565426747315E-02,-3.43246695120E-05
-1.9300E-07,1.603915561922E-02,-5.29455796350E-05
-1.9280E-07,1.551966528408E-02,-2.19247962814E-05
-1.9260E-07,1.566226241179E-02,1.36360100005E-05
-1.9240E-07,1.615153272636E-02,2.98638285603E-05
-1.9220E-07,1.527241497301E-02,3.30443766434E-05
-1.9200E-07,1.479388047941E-02,-1.84920344036E-05
-1.9180E-07,1.600165917538E-02,-4.96424578596E-05
-1.9160E-07,1.644686722197E-02,-3.79019959364E-05
-1.9140E-07,1.567166644149E-02,-2.55572453607E-05
-1.9120E-07,1.543023875914E-02,-2.41660706233E-05
-1.9100E-07,1.566174413078E-02,3.69619042613E-06
-1.9080E-07,1.502614581026E-02,3.18659159821E-05
-1.9060E-07,1.531917062588E-02,4.51466108207E-05
-1.9040E-07,1.607668745331E-02,-7.90619128383E-06
-1.9020E-07,1.612129966728E-02,-4.59812891204E-05
-1.9000E-07,1.628462756984E-02,-5.50743269268E-05
-1.8980E-07,1.707858518697E-02,-5.82331162877E-06
-1.8960E-07,1.692734771408E-02,2.46655351948E-05
-1.8940E-07,1.609089850448E-02,1.92304064985E-05
-1.8920E-07,1.599321580492E-02,-4.28398675285E-06
-1.8900E-07,1.568361065350E-02,6.74671423622E-06
-1.8880E-07,1.611295082606E-02,1.84576648753E-05
-1.8860E-07,1.704424452968E-02,-3.05643498432E-05
-1.8840E-07,1.711054398678E-02,-5.06639906671E-05
-1.8820E-07,1.799179819413E-02,-2.40086421836E-05
-1.8800E-07,1.748070699163E-02,-2.36543787178E-05
-1.8780E-07,1.700177668594E-02,-8.65986337879E-07
-1.8760E-07,1.682221536525E-02,-2.56689575035E-05
-1.8740E-07,1.647994593717E-02,-3.11139116529E-05
-1.8720E-07,1.632664698176E-02,-1.51380042080E-05
-1.8700E-07,1.662542085163E-02,-1.61460561212E-05
-1.8680E-07,1.599764238112E-02,-2.10076873190E-06
-1.8660E-07,1.637564153410E-02,1.63877655286E-05
-1.8640E-07,1.746248194016E-02,-2.01366336551E-05
-1.8620E-07,1.763810004108E-02,-2.79100805055E-05
-1.8600E-07,1.642129356973E-02,-7.12081859819E-06
-1.8580E-07,1.570374212228E-02,-2.49359251466E-05
-1.8560E-07,1.534152329899E-02,-1.86381698586E-06
-1.8540E-07,1.563669248484E-02,5.25048701096E-07
-1.8520E-07,1.685757069848E-02,-9.10969218233E-07
-1.8500E-07,1.631362196989E-02,-3.15036927349E-06
-1.8480E-07,1.521179099567E-02,-2.00881117489E-05
-1.8460E-07,1.523791273124E-02,-3.21134303231E-05
-1.8440E-07,1.625170578249E-02,-2.44883890263E-06
-1.8420E-07,1.700819536112E-02,-5.08480775169E-06
-1.8400E-07,1.649254580028E-02,1.49959628471E-06
-1.8380E-07,1.660981421359E-02,-1.87329675537E-05
-1.8360E-07,1.763249860145E-02,-3.58332374599E-05
-1.8340E-07,1.657416644506E-02,-4.07391653862E-05
-1.8320E-07,1.598030115478E-02,-1.32605393883E-05
-1.8300E-07,1.674442292191E-02,1.49669754319E-06
-1.8280E-07,1.685225098394E-02,-2.73908332456E-05
-1.8260E-07,1.664346662350E-02,-5.99506387953E-05
-1.8240E-07,1.621235460974E-02,-5.08903951850E-05
-1.8220E-07,1.605920932256E-02,-3.13314686064E-05
-1.8200E-07,1.723026317544E-02,-1.72056800220E-05
-1.8180E-07,1.763848700561E-02,-3.45907949377E-05
-1.8160E-07,1.707860660739E-02,-4.29436874110E-05
-1.8140E-07,1.680604388006E-02,-1.72835385892E-05
-1.8120E-07,1.705662506632E-02,1.85240448918E-05
-1.8100E-07,1.668530815281E-02,1.59452359658E-05
-1.8080E-07,1.636430733837E-02,1.49837501813E-05
-1.8060E-07,1.643190273084E-02,1.71122646425E-05
-1.8040E-07,1.628456098028E-02,-1.37769926805E-05
-1.8020E-07,1.568892710842E-02,-4.28107294720E-05
-1.8000E-07,1.567888651974E-02,-7.90434733499E-05
-1.7980E-07,1.590003837831E-02,-6.13527449313E-05
-1.7960E-07,1.630389477126E-02,-4.79041668586E-06
-1.7940E-07,1.636282560416E-02,1.31217925810E-06
-1.7920E-07,1.613159636967E-02,-9.72742750309E-06
-1.7900E-07,1.574501833878E-02,1.10492033418E-05
-1.7880E-07,1.607958433218E-02,1.16679274943E-05
-1.7860E-07,1.649329551496E-02,5.17286057584E-06
-1.7840E-07,1.679034224711E-02,5.34728565254E-06
-1.7820E-07,1.600353159942E-02,-1.16358471569E-05
-1.7800E-07,1.629657597281E-02,-3.24429788161E-05
