in s,C1 in V
-1.9800E-07,1.549142758362E-02
-1.9780E-07,1.564181755297E-02
-1.9760E-07,1.628003149293E-02
-1.9740E-07,1.619557077996E-02
-1.9720E-07,1.579571674578E-02
-1.9700E-07,1.572266426869E-02
-1.9680E-07,1.682194295339E-02
-1.9660E-07,1.673528338782E-02
-1.9640E-07,1.516466141678E-02
-1.9620E-07,1.620348609053E-02
-1.9600E-07,1.639093711041E-02
-1.9580E-07,1.528086020611E-02
-1.9560E-07,1.472442197613E-02
-1.9540E-07,1.532936162315E-02
-1.9520E-07,1.523014782928E-02
-1.9500E-07,1.523102979176E-02
-1.9480E-07,1.599053033628E-02
-1.9460E-07,1.602808452211E-02
-1.9440E-07,1.550339926966E-02
-1.9420E-07,1.507291776128E-02
-1.9400E-07,1.502411832102E-02
-1.9380E-07,1.598860296421E-02
-1.9360E-07,1.612621146254E-02
-1.9340E-07,1.631063242443E-02
-1.9320E-07,1.582581243478E-02
-1.9300E-07,1.592431888916E-02
-1.9280E-07,1.606029338203E-02
-1.9260E-07,1.543492517434E-02
-1.9240E-07,1.466131183319E-02
-1.9220E-07,1.462154901586E-02
-1.9200E-07,1.533407877199E-02
-1.9180E-07,1.587413177825E-02
-1.9160E-07,1.650038986467E-02
-1.9140E-07,1.598327859305E-02
-1.9120E-07,1.557990835048E-02
-1.9100E-07,1.465225378983E-02
-1.9080E-07,1.560228197835E-02
-1.9060E-07,1.536603198387E-02
-1.9040E-07,1.483020997606E-02
-1.9020E-07,1.465440887026E-02
-1.9000E-07,1.517647431232E-02
-1.8980E-07,1.587021603249E-02
-1.8960E-07,1.510970127769E-02
-1.8940E-07,1.508895467035E-02
-1.8920E-07,1.695887810551E-02
-1.8900E-07,1.600341471843E-02
-1.8880E-07,1.512200637721E-02
-1.8860E-07,1.502986318432E-02
-1.8840E-07,1.536053578369E-02
-1.8820E-07,1.655074275099E-02
-1.8800E-07,1.613159171306E-02
-1.8780E-07,1.572356299497E-02
-1.8760E-07,1.587050893344E-02
-1.8740E-07,1.605940722860E-02
-1.8720E-07,1.582131228410E-02
-1.8700E-07,1.574930055998E-02
-1.8680E-07,1.583111911081E-02
-1.8660E-07,1.673928108998E-02
-1.8640E-07,1.563103982247E-02
-1.8620E-07,1.564539290033E-02
-1.8600E-07,1.635997994803E-02
-1.8580E-07,1.622032114305E-02
-1.8560E-07,1.517062327825E-02
-1.8540E-07,1.512059961446E-02
-1.8520E-07,1.498457948677E-02
-1.8500E-07,1.508677630685E-02
-1.8480E-07,1.537993756123E-02
-1.8460E-07,1.534647374414E-02
-1.8440E-07,1.547591500916E-02
-1.8420E-07,1.605751198716E-02
-1.8400E-07,1.821956803091E-02
-1.8380E-07,1.711932961829E-02
-1.8360E-07,1.593543562107E-02
-1.8340E-07,1.612083866261E-02
-1.8320E-07,1.593676089309E-02
-1.8300E-07,1.590049193241E-02
-1.8280E-07,1.547468985431E-02
-1.8260E-07,1.566343680955E-02
-1.8240E-07,1.580266394652E-02
-1.8220E-07,1.510164161213E-02
-1.8200E-07,1.552504274063E-02
-1.8180E-07,1.556394734420E-02
-1.8160E-07,1.506874962710E-02
-1.8140E-07,1.543316497467E-02
-1.8120E-07,1.564985998906E-02
-1.8100E-07,1.562664351426E-02
-1.8080E-07,1.539266222157E-02
-1.8060E-07,1.479836991988E-02
-1.8040E-07,1.585122450255E-02
-1.8020E-07,1.565537062474E-02
-1.8000E-07,1.398001118563E-02
-1.7980E-07,1.500088834204E-02
-1.7960E-07,1.589796991087E-02
-1.7940E-07,1.530533629470E-02
-1.7920E-07,1.375846956857E-02
-1.7900E-07,1.520110080950E-02
