in s,C1 in V
-2.0600E-07,3.69189363439E-02
-2.0580E-07,3.71597391088E-02
-2.0560E-07,3.65599650424E-02
-2.0540E-07,3.64987608511E-02
-2.0520E-07,3.77447493840E-02
-2.0500E-07,3.79827209283E-02
-2.0480E-07,3.80515060853E-02
-2.0460E-07,3.73507952783E-02
-2.0440E-07,3.77090122085E-02
-2.0420E-07,3.76119032036E-02
-2.0400E-07,3.79233025480E-02
-2.0380E-07,3.81019604858E-02
-2.0360E-07,3.81598282140E-02
-2.0340E-07,3.83519134950E-02
-2.0320E-07,3.88555308338E-02
-2.0300E-07,3.83789102081E-02
-2.0280E-07,3.85475494433E-02
-2.0260E-07,3.84267243091E-02
-2.0240E-07,3.80273638759E-02
-2.0220E-07,3.73275890481E-02
-2.0200E-07,3.85541921016E-02
-2.0180E-07,3.92911825795E-02
-2.0160E-07,3.83115010802E-02
-2.0140E-07,3.74386096839E-02
-2.0120E-07,3.77170332242E-02
-2.0100E-07,3.78812044393E-02
-2.0080E-07,3.82467159536E-02
-2.0060E-07,3.76276821364E-02
-2.0040E-07,3.84839936625E-02
-2.0020E-07,3.79776452202E-02
-2.0000E-07,3.79808652680E-02
-1.9980E-07,3.83906122763E-02
-1.9960E-07,3.86896552984E-02
-1.9940E-07,3.86772733647E-02
-1.9920E-07,3.91515912954E-02
-1.9900E-07,3.81650203373E-02
-1.9880E-07,3.63613069523E-02
-1.9860E-07,3.63800731022E-02
-1.9840E-07,3.74931316357E-02
-1.9820E-07,3.74127468560E-02
-1.9800E-07,3.82624203805E-02
-1.9780E-07,3.79268276039E-02
-1.9760E-07,3.73534681741E-02
-1.9740E-07,3.71987103019E-02
-1.9720E-07,3.75788785052E-02
-1.9700E-07,3.88570838142E-02
-1.9680E-07,3.78256766591E-02
-1.9660E-07,3.73324854765E-02
-1.9640E-07,3.72311436105E-02
-1.9620E-07,3.81358815823E-02
-1.9600E-07,3.88593399432E-02
-1.9580E-07,3.81678678561E-02
-1.9560E-07,3.76595054287E-02
-1.9540E-07,3.77166257705E-02
-1.9520E-07,3.84233389515E-02
-1.9500E-07,3.86102414224E-02
-1.9480E-07,3.89386117924E-02
-1.9460E-07,3.77231846098E-02
-1.9440E-07,3.67422434967E-02
-1.9420E-07,3.63229434472E-02
-1.9400E-07,3.74493059237E-02
-1.9380E-07,3.80802373867E-02
-1.9360E-07,3.80255384836E-02
-1.9340E-07,3.74975065235E-02
-1.9320E-07,3.76392980572E-02
-1.9300E-07,3.83339715656E-02
-1.9280E-07,3.89998183120E-02
-1.9260E-07,3.87908621225E-02
-1.9240E-07,3.85106225032E-02
-1.9220E-07,3.78702031914E-02
-1.9200E-07,3.79287158605E-02
-1.9180E-07,3.76913869288E-02
-1.9160E-07,3.66990045179E-02
-1.9140E-07,3.67136798333E-02
-1.9120E-07,3.67896594573E-02
-1.9100E-07,3.74617460649E-02
-1.9080E-07,3.74741699081E-02
-1.9060E-07,3.77194290515E-02
-1.9040E-07,3.76201034989E-02
-1.9020E-07,3.77923911903E-02
-1.9000E-07,3.81852835882E-02
-1.8980E-07,3.77922235522E-02
-1.8960E-07,3.78800239880E-02
-1.8940E-07,3.68217318784E-02
-1.8920E-07,3.70578920003E-02
-1.8900E-07,3.78943477292E-02
-1.8880E-07,3.70463831816E-02
-1.8860E-07,3.55120338965E-02
-1.8840E-07,3.62681677099E-02
-1.8820E-07,3.76009205822E-02
-1.8800E-07,3.85940038133E-02
-1.8780E-07,3.86486514937E-02
-1.8760E-07,3.77365537453E-02
-1.8740E-07,3.74305770267E-02
-1.8720E-07,3.76674845349E-02
-1.8700E-07,3.79697382916E-02
-1.8680E-07,3.73385367449E-02
-1.8660E-07,3.74624655116E-02
-1.8640E-07,3.70298312511E-02
-1.8620E-07,3.66072901990E-02
-1.8600E-07,3.72093786020E-02
-1.8580E-07,3.85914543178E-02
-1.8560E-07,3.88035956304E-02
-1.8540E-07,3.78683172632E-02
-1.8520E-07,3.74292778317E-02
-1.8500E-07,3.80988196004E-02
-1.8480E-07,3.86632010806E-02
-1.8460E-07,3.80226513836E-02
-1.8440E-07,3.83787448984E-02
-1.8420E-07,3.87216811534E-02
-1.8400E-07,3.83819882292E-02
-1.8380E-07,3.78258536104E-02
-1.8360E-07,3.79161220510E-02
-1.8340E-07,3.83402696345E-02
-1.8320E-07,3.83079876658E-02
-1.8300E-07,3.77336666454E-02
-1.8280E-07,3.81317581516E-02
-1.8260E-07,3.83381182793E-02
-1.8240E-07,3.80873387214E-02
-1.8220E-07,3.74360066373E-02
-1.8200E-07,3.79947396461E-02
-1.8180E-07,3.86425164062E-02
-1.8160E-07,3.80957834888E-02
-1.8140E-07,3.80873061251E-02
-1.8120E-07,3.88483223971E-02
-1.8100E-07,3.86715154629E-02
-1.8080E-07,3.79417147953E-02
-1.8060E-07,3.82330231834E-02
-1.8040E-07,3.85271953884E-02
-1.8020E-07,3.84930228349E-02
-1.8000E-07,3.82663715165E-02
-1.7980E-07,3.72685455251E-02
-1.7960E-07,3.78968017641E-02
-1.7940E-07,3.82410837803E-02
-1.7920E-07,3.82842319552E-02
-1.7900E-07,3.79650234710E-02
-1.7880E-07,3.80704422016E-02
-1.7860E-07,3.76077052671E-02
-1.7840E-07,3.81096764933E-02
-1.7820E-07,3.70310047176E-02
-1.7800E-07,3.73550490942E-02
-1.7780E-07,3.80421136972E-02
-1.7760E-07,3.73760527465E-02
-1.7740E-07,3.75552508514E-02
-1.7720E-07,3.82083431352E-02
-1.7700E-07,3.94351277966E-02
-1.7680E-07,3.92137733754E-02
-1.7660E-07,3.79577288870E-02
-1.7640E-07,3.79275959451E-02
-1.7620E-07,3.71762677561E-02
-1.7600E-07,3.71499904897E-02
-1.7580E-07,3.71053801384E-02
-1.7560E-07,3.76182664651E-02
-1.7540E-07,3.76038542483E-02
-1.7520E-07,3.77282836009E-02
-1.7500E-07,3.69253508281E-02
-1.7480E-07,3.73239615466E-02
-1.7460E-07,3.82837383542E-02
-1.7440E-07,3.86339389253E-02
-1.7420E-07,3.82276354823E-02
-1.7400E-07,3.85035910178E-02
-1.7380E-07,3.93359861802E-02
-1.7360E-07,3.86561463121E-02
-1.7340E-07,3.83597994689E-02
-1.7320E-07,3.87581610586E-02
-1.7300E-07,3.80718578119E-02
-1.7280E-07,3.76098566223E-02
-1.7260E-07,3.74502302613E-02
-1.7240E-07,3.93109545577E-02
-1.7220E-07,3.93991531339E-02
-1.7200E-07,3.82763576228E-02
-1.7180E-07,3.75075950753E-02
-1.7160E-07,3.71383931953E-02
-1.7140E-07,3.76219708007E-02
-1.7120E-07,3.73929469380E-02
-1.7100E-07,3.76515286509E-02
-1.7080E-07,3.77970431466E-02
-1.7060E-07,3.87142119463E-02
-1.7040E-07,3.87312528212E-02
-1.7020E-07,3.87892392930E-02
-1.7000E-07,3.92536409665E-02
-1.6980E-07,3.91965788323E-02
-1.6960E-07,3.81093295757E-02
-1.6940E-07,3.70190721471E-02
-1.6920E-07,3.56955021154E-02
-1.6900E-07,3.60563034657E-02
-1.6880E-07,3.69271133561E-02
-1.6860E-07,3.71162440162E-02
-1.6840E-07,3.79037936684E-02
-1.6820E-07,3.79703389946E-02
-1.6800E-07,3.87314437423E-02
-1.6780E-07,3.90630970243E-02
-1.6760E-07,3.72118605766E-02
-1.6740E-07,3.72965806629E-02
-1.6720E-07,3.91250788700E-02
-1.6700E-07,3.91451674979E-02
-1.6680E-07,3.76954661217E-02
-1.6660E-07,3.78801543731E-02
-1.6640E-07,3.89763233717E-02
-1.6620E-07,3.87737770099E-02
