in s,C1 in V,C3 in V
-7.4000E-08,1.895416081883E-02,5.039380001742E-05
-7.3800E-08,1.900463850237E-02,4.295123773534E-05
-7.3600E-08,1.894617007114E-02,4.340783450659E-05
-7.3400E-08,1.920205048285E-02,4.673369461577E-05
-7.3200E-08,1.887457557954E-02,4.316055774596E-05
-7.3000E-08,1.871049842797E-02,4.148364975024E-05
-7.2800E-08,1.863910137676E-02,4.942894559260E-05
-7.2600E-08,1.851683595218E-02,5.269085764792E-05
-7.2400E-08,1.876196191646E-02,4.899679995049E-05
-7.2200E-08,1.883121040650E-02,4.255964318197E-05
-7.2000E-08,1.888277773745E-02,3.645353498775E-05
-7.1800E-08,1.898426349275E-02,4.064388489257E-05
-7.1600E-08,1.899827244692E-02,4.646308249701E-05
-7.1400E-08,1.887303051539E-02,4.913080884050E-05
-7.1200E-08,1.847828199156E-02,4.615504755545E-05
-7.1000E-08,1.841881192289E-02,4.508429071773E-05
-7.0800E-08,1.849004459567E-02,4.658459201362E-05
-7.0600E-08,1.851404198445E-02,4.330966719333E-05
-7.0400E-08,1.872321750037E-02,4.724273946974E-05
-7.0200E-08,1.891233372502E-02,4.975496977474E-05
-7.0000E-08,1.889268747531E-02,4.459550771769E-05
-6.9800E-08,1.875474789180E-02,4.259055619966E-05
-6.9600E-08,1.875339700840E-02,4.300428819749E-05
-6.9400E-08,1.886895830743E-02,4.740330781694E-05
-6.9200E-08,1.882007039152E-02,5.154166142363E-05
-6.9000E-08,1.911391290836E-02,5.137969665136E-05
-6.8800E-08,1.891682176851E-02,4.703681468870E-05
-6.8600E-08,1.857571882196E-02,4.507914995681E-05
-6.8400E-08,1.873446182348E-02,4.517878214735E-05
-6.8200E-08,1.872781869955E-02,4.163536038156E-05
-6.8000E-08,1.858278057538E-02,4.129965705704E-05
-6.7800E-08,1.866737307049E-02,4.023113176133E-05
-6.7600E-08,1.895174263976E-02,3.984556784760E-05
-6.7400E-08,1.919711121358E-02,3.568168156687E-05
-6.7200E-08,1.900604386814E-02,3.497208543029E-05
-6.7000E-08,1.883637691848E-02,3.536684932094E-05
-6.6800E-08,1.893475252204E-02,4.014200013969E-05
-6.6600E-08,1.898250515573E-02,4.174430207256E-05
-6.6400E-08,1.881496115588E-02,4.263558406290E-05
-6.6200E-08,1.859094175510E-02,4.007065240201E-05
-6.6000E-08,1.850930201821E-02,4.420915660355E-05
-6.5800E-08,1.863631998189E-02,4.820015313942E-05
-6.5600E-08,1.848435747437E-02,5.176814240310E-05
-6.5400E-08,1.846539481543E-02,4.816537941713E-05
-6.5200E-08,1.872519050725E-02,4.562232508231E-05
-6.5000E-08,1.863602801226E-02,4.298197962250E-05
-6.4800E-08,1.823682497255E-02,4.341444014478E-05
-6.4600E-08,1.822063858621E-02,4.036302547809E-05
-6.4400E-08,1.878027684055E-02,4.354478684161E-05
-6.4200E-08,1.901972592808E-02,4.132427931670E-05
-6.4000E-08,1.907777619548E-02,3.948466041963E-05
-6.3800E-08,1.899993485771E-02,4.384869411495E-05
-6.3600E-08,1.896860050969E-02,4.651136184018E-05
-6.3400E-08,1.874625516124E-02,4.412781484332E-05
-6.3200E-08,1.848113649525E-02,4.364857408125E-05
-6.3000E-08,1.868087957613E-02,4.635041016061E-05
-6.2800E-08,1.894178680144E-02,4.594152457919E-05
-6.2600E-08,1.887600562535E-02,4.541203305032E-05
-6.2400E-08,1.879513795488E-02,3.978203050699E-05
-6.2200E-08,1.911454434507E-02,3.779339115042E-05
-6.2000E-08,1.876720107160E-02,3.771573896427E-05
-6.1800E-08,1.852483554743E-02,3.329702564422E-05
-6.1600E-08,1.849655221216E-02,3.704552338365E-05
-6.1400E-08,1.857775562443E-02,4.259319160972E-05
-6.1200E-08,1.876136447303E-02,4.330844189878E-05
-6.1000E-08,1.884214692749E-02,4.278621999454E-05
-6.0800E-08,1.908557928167E-02,4.395380248222E-05
-6.0600E-08,1.911945893429E-02,4.611832294520E-05
-6.0400E-08,1.882226691581E-02,4.412548746820E-05
-6.0200E-08,1.862793435343E-02,3.887327266764E-05
-6.0000E-08,1.878663777374E-02,3.555980925355E-05
-5.9800E-08,1.882601781748E-02,3.642706451844E-05
-5.9600E-08,1.863261844031E-02,4.114142977539E-05
-5.9400E-08,1.870283876546E-02,4.175576781761E-05
-5.9200E-08,1.868344583549E-02,4.094906537700E-05
