in s,C1 in V,C3 in V
-7.4000E-08,1.11530285934E-02,-6.819672603159E-07
-7.3800E-08,1.12972501805E-02,-1.614836761730E-06
-7.3600E-08,1.12523865094E-02,4.966698866314E-07
-7.3400E-08,1.10957715800E-02,3.954277373944E-08
-7.3200E-08,1.10165400105E-02,-2.576584713535E-06
-7.3000E-08,1.10160345351E-02,-4.767931783573E-06
-7.2800E-08,1.09861202212E-02,-1.436213282868E-06
-7.2600E-08,1.09885800770E-02,5.646899621931E-07
-7.2400E-08,1.10637114989E-02,1.499674031510E-06
-7.2200E-08,1.12057824293E-02,3.628221089021E-06
-7.2000E-08,1.12025798438E-02,2.408593175931E-06
-7.1800E-08,1.13142551994E-02,-1.408060332761E-06
-7.1600E-08,1.13058649143E-02,-3.694908013569E-06
-7.1400E-08,1.12815175811E-02,-6.530189672487E-06
-7.1200E-08,1.11852195254E-02,-8.120353585109E-06
-7.1000E-08,1.11579485377E-02,-9.546678299086E-06
-7.0800E-08,1.13252042932E-02,3.425276186297E-07
-7.0600E-08,1.13507760828E-02,4.863650752231E-06
-7.0400E-08,1.12896410422E-02,2.455458724869E-06
-7.0200E-08,1.12560300762E-02,-8.917421819642E-06
-7.0000E-08,1.12936096406E-02,-1.121063089930E-05
-6.9800E-08,1.12738888850E-02,-6.055871741847E-06
-6.9600E-08,1.12536484515E-02,-8.700461843984E-06
-6.9400E-08,1.11982738739E-02,-4.915845366195E-06
-6.9200E-08,1.12830121210E-02,-5.238524889574E-06
-6.9000E-08,1.11539615458E-02,-9.139017919078E-06
-6.8800E-08,1.11631662725E-02,-9.632420046257E-06
-6.8600E-08,1.11524451198E-02,-8.001468861478E-06
-6.8400E-08,1.12460872764E-02,-4.818504462021E-06
-6.8200E-08,1.12459731894E-02,-3.221386363730E-06
-6.8000E-08,1.11030107504E-02,-4.253525538369E-06
-6.7800E-08,1.11609643931E-02,-1.040371532552E-05
-6.7600E-08,1.13835882070E-02,-9.678338905798E-06
-6.7400E-08,1.13844683068E-02,-7.664279332385E-06
-6.7200E-08,1.12347044190E-02,-8.990414226428E-06
-6.7000E-08,1.12595374370E-02,-9.573760693892E-06
-6.6800E-08,1.12175920652E-02,-6.319148717449E-06
-6.6600E-08,1.11987954145E-02,-1.260296327062E-05
-6.6400E-08,1.12681193417E-02,-1.392079914920E-05
-6.6200E-08,1.12637914857E-02,-8.410792583600E-06
-6.6000E-08,1.10860229610E-02,-1.036955487915E-05
-6.5800E-08,1.11786045739E-02,-1.823530510999E-05
-6.5600E-08,1.11913448339E-02,-1.105482528918E-05
-6.5400E-08,1.12764081126E-02,-1.035797341727E-05
-6.5200E-08,1.12903781841E-02,-1.126116818748E-05
-6.5000E-08,1.12197399279E-02,-1.725612745620E-05
-6.4800E-08,1.11898018653E-02,-1.891096706502E-05
-6.4600E-08,1.11202327674E-02,-1.153369086795E-05
-6.4400E-08,1.11090724962E-02,-1.150345874019E-05
-6.4200E-08,1.11440266622E-02,-1.858470427804E-05
-6.4000E-08,1.12564978329E-02,-2.099612566642E-05
-6.3800E-08,1.12518461095E-02,-2.165302193724E-05
-6.3600E-08,1.11283203727E-02,-1.880902542733E-05
-6.3400E-08,1.10443788720E-02,-1.638058132492E-05
-6.3200E-08,1.10441334685E-02,-2.408201458864E-05
-6.3000E-08,1.10823174613E-02,-2.650206235237E-05
-6.2800E-08,1.12282266049E-02,-1.938960260712E-05
-6.2600E-08,1.11767330812E-02,-1.625775058754E-05
-6.2400E-08,1.11245245347E-02,-1.532576584257E-05
-6.2200E-08,1.10974360863E-02,-2.075881629251E-05
-6.2000E-08,1.11441754410E-02,-2.100898117758E-05
-6.1800E-08,1.11370710796E-02,-2.450453887694E-05
-6.1600E-08,1.12081838446E-02,-2.162869998254E-05
-6.1400E-08,1.12303225463E-02,-1.938014456071E-05
-6.1200E-08,1.12797184987E-02,-2.359876061790E-05
