in s,C1 in V,C3 in V
-9.2000E-08,8.54101500008E-03,1.769102586248E-05
-9.1800E-08,8.73086231295E-03,1.780523404293E-05
-9.1600E-08,8.60202524345E-03,2.043561011367E-05
-9.1400E-08,8.51329488214E-03,1.979802733102E-05
-9.1200E-08,8.43994740862E-03,1.372921315767E-05
-9.1000E-08,8.51148089860E-03,1.424926191383E-05
-9.0800E-08,8.65683520678E-03,1.359315922298E-05
-9.0600E-08,8.60689908732E-03,1.564531231113E-05
-9.0400E-08,8.40696275700E-03,1.582417793386E-05
-9.0200E-08,8.34068495315E-03,1.367983089574E-05
-9.0000E-08,8.36136008147E-03,1.403955265694E-05
-8.9800E-08,8.52901653852E-03,1.736634092220E-05
-8.9600E-08,8.54978689458E-03,1.875552123227E-05
-8.9400E-08,8.41813373845E-03,1.734800820984E-05
-8.9200E-08,8.45638315659E-03,1.795846631565E-05
-8.9000E-08,8.63417473156E-03,1.730022335239E-05
-8.8800E-08,8.61760370899E-03,1.455339275115E-05
-8.8600E-08,8.45302015077E-03,1.308088533395E-05
-8.8400E-08,8.54803018738E-03,1.345462806337E-05
-8.8200E-08,8.54095725808E-03,1.307440211811E-05
-8.8000E-08,8.55516598094E-03,1.445393560268E-05
-8.7800E-08,8.50859077182E-03,1.943650224992E-05
-8.7600E-08,8.45892776269E-03,2.497709344887E-05
-8.7400E-08,8.52519276086E-03,2.091280974262E-05
-8.7200E-08,8.39826164301E-03,1.758713217266E-05
-8.7000E-08,8.43331289943E-03,1.655564566888E-05
-8.6800E-08,8.47979707178E-03,1.509657891281E-05
-8.6600E-08,8.44099700917E-03,1.412229945697E-05
-8.6400E-08,8.48110278603E-03,1.447211231851E-05
-8.6200E-08,8.53713511024E-03,1.233695659601E-05
-8.6000E-08,8.53295743000E-03,7.838459664960E-06
-8.5800E-08,8.46477181185E-03,1.072233009898E-05
-8.5600E-08,8.49810664076E-03,1.475913969614E-05
-8.5400E-08,8.51926023606E-03,1.176985304617E-05
-8.5200E-08,8.44845061656E-03,1.575292495825E-05
-8.5000E-08,8.47538423259E-03,1.516546074115E-05
-8.4800E-08,8.60686765518E-03,1.485211986863E-05
-8.4600E-08,8.61576085445E-03,1.948288313859E-05
-8.4400E-08,8.51280966308E-03,1.816164867767E-05
-8.4200E-08,8.53219630662E-03,1.496985357069E-05
-8.4000E-08,8.61317783128E-03,1.423960884847E-05
-8.3800E-08,8.61208632123E-03,1.363085422479E-05
-8.3600E-08,8.63191953395E-03,1.057006500476E-05
-8.3400E-08,8.59729924705E-03,1.457235568949E-05
-8.3200E-08,8.52765494492E-03,1.227488869615E-05
-8.3000E-08,8.46161998343E-03,9.992110336204E-06
-8.2800E-08,8.53127196897E-03,1.230671198853E-05
-8.2600E-08,8.58129423577E-03,1.444048870169E-05
-8.2400E-08,8.57186249923E-03,1.299190491252E-05
-8.2200E-08,8.58167863917E-03,1.590371744522E-05
-8.2000E-08,8.53397513274E-03,1.516620328464E-05
-8.1800E-08,8.39346812572E-03,1.540316825547E-05
