in s,C1 in V,C3 in V
-9.2000E-08,1.891705351882E-02,-4.251790980901E-05
-9.1800E-08,1.903963000514E-02,-3.784722842369E-05
-9.1600E-08,1.874295719899E-02,-3.690305722970E-05
-9.1400E-08,1.838580151089E-02,-3.914743958133E-05
-9.1200E-08,1.855885381810E-02,-3.600120873283E-05
-9.1000E-08,1.878548045643E-02,-3.700616260152E-05
-9.0800E-08,1.881930795498E-02,-3.563149741943E-05
-9.0600E-08,1.860205647536E-02,-3.290298113692E-05
-9.0400E-08,1.821365957148E-02,-3.296700984332E-05
-9.0200E-08,1.837708246894E-02,-3.479180604312E-05
-9.0000E-08,1.882079527713E-02,-3.905690161604E-05
-8.9800E-08,1.884331698529E-02,-4.037560199480E-05
-8.9600E-08,1.877344311215E-02,-4.056367443967E-05
-8.9400E-08,1.870340206660E-02,-4.230408843699E-05
-8.9200E-08,1.915802485310E-02,-4.099266238603E-05
-8.9000E-08,1.909256172366E-02,-3.769437249842E-05
-8.8800E-08,1.869659363292E-02,-4.366584991197E-05
-8.8600E-08,1.824350194074E-02,-4.423517755325E-05
-8.8400E-08,1.815769965760E-02,-3.984788789506E-05
-8.8200E-08,1.849592248909E-02,-4.138832002039E-05
-8.8000E-08,1.852921308018E-02,-4.679745899606E-05
-8.7800E-08,1.857506209053E-02,-4.179112038668E-05
-8.7600E-08,1.846532993950E-02,-3.335740364249E-05
-8.7400E-08,1.826292467304E-02,-3.299672857951E-05
-8.7200E-08,1.882115104236E-02,-3.646319800149E-05
-8.7000E-08,1.885664514266E-02,-4.148576676938E-05
-8.6800E-08,1.876175827347E-02,-4.022026036958E-05
-8.6600E-08,1.862590904348E-02,-3.513693817052E-05
-8.6400E-08,1.875950726680E-02,-3.643106667417E-05
-8.6200E-08,1.885508378036E-02,-4.117433049809E-05
-8.6000E-08,1.870724796318E-02,-4.317506307829E-05
-8.5800E-08,1.855544238351E-02,-4.092263875622E-05
-8.5600E-08,1.892004539259E-02,-3.781283072288E-05
-8.5400E-08,1.892172223888E-02,-3.841864697728E-05
-8.5200E-08,1.896579987369E-02,-4.167202611546E-05
-8.5000E-08,1.892241979949E-02,-3.858915137219E-05
-8.4800E-08,1.872027670033E-02,-3.716574453841E-05
-8.4600E-08,1.882812152617E-02,-3.929116421472E-05
-8.4400E-08,1.854129419662E-02,-3.568078007641E-05
-8.4200E-08,1.869406183250E-02,-3.518923291098E-05
-8.4000E-08,1.890883413143E-02,-3.913212328310E-05
-8.3800E-08,1.897575897165E-02,-4.116182157862E-05
-8.3600E-08,1.913327076472E-02,-4.224525045696E-05
-8.3400E-08,1.893688323908E-02,-4.288899556826E-05
-8.3200E-08,1.872690259479E-02,-4.421264541428E-05
-8.3000E-08,1.887472164817E-02,-4.354553472343E-05
-8.2800E-08,1.890589254908E-02,-4.014592331926E-05
-8.2600E-08,1.893267412670E-02,-3.627579084690E-05
-8.2400E-08,1.893045804463E-02,-3.674553696159E-05
-8.2200E-08,1.879178038798E-02,-3.904532848950E-05
-8.2000E-08,1.877081072889E-02,-3.792527940217E-05
-8.1800E-08,1.898184376769E-02,-3.523017385136E-05
-8.1600E-08,1.918288371526E-02,-3.820270544942E-05
-8.1400E-08,1.872402480803E-02,-4.335543716419E-05
-8.1200E-08,1.832368415780E-02,-4.373773781675E-05
-8.1000E-08,1.852419604547E-02,-4.048617177735E-05
-8.0800E-08,1.873535574414E-02,-3.195061444397E-05
-8.0600E-08,1.871680519544E-02,-2.846632840204E-05
-8.0400E-08,1.860521412455E-02,-3.764926435518E-05
-8.0200E-08,1.872221105732E-02,-4.399511742498E-05
-8.0000E-08,1.872487929650E-02,-4.000904898252E-05
-7.9800E-08,1.883550551720E-02,-3.862180908303E-05
-7.9600E-08,1.892132596113E-02,-4.243787758145E-05
-7.9400E-08,1.881890934892E-02,-4.094903104100E-05
-7.9200E-08,1.871994980611E-02,-3.864639557991E-05
-7.9000E-08,1.865738821216E-02,-3.476536989304E-05
-7.8800E-08,1.848798017018E-02,-3.083969664852E-05
-7.8600E-08,1.870339321904E-02,-3.119077983405E-05
-7.8400E-08,1.875988491811E-02,-3.687024599034E-05
-7.8200E-08,1.880840682425E-02,-3.931633558217E-05
-7.8000E-08,1.885349121876E-02,-3.685901647526E-05
-7.7800E-08,1.872626137920E-02,-3.526677943859E-05
-7.7600E-08,1.891430425458E-02,-3.453477004635E-05
-7.7400E-08,1.908710836433E-02,-3.829268047678E-05
-7.7200E-08,1.909701856785E-02,-3.916166655812E-05
-7.7000E-08,1.900279293768E-02,-3.671037161815E-05
-7.6800E-08,1.913105468266E-02,-3.508388309832E-05
-7.6600E-08,1.887118122540E-02,-3.530584879312E-05
-7.6400E-08,1.847771187313E-02,-3.229101643059E-05
-7.6200E-08,1.874921801500E-02,-3.485401433985E-05
-7.6000E-08,1.888183136471E-02,-3.609443710278E-05
-7.5800E-08,1.878008949570E-02,-3.601777519192E-05
-7.5600E-08,1.874934234656E-02,-3.534491814765E-05
-7.5400E-08,1.881803437136E-02,-3.589163323025E-05
-7.5200E-08,1.863179127686E-02,-3.901218826044E-05
-7.5000E-08,1.860443600453E-02,-3.481504002678E-05
-7.4800E-08,1.852172664367E-02,-3.253131781797E-05
-7.4600E-08,1.859396328218E-02,-3.409014412294E-05
-7.4400E-08,1.871835212223E-02,-3.966735296975E-05
-7.4200E-08,1.873411289416E-02,-4.033022334892E-05
-7.4000E-08,1.858226214536E-02,-3.713451976049E-05
-7.3800E-08,1.843201001175E-02,-3.172367003839E-05
-7.3600E-08,1.849254923873E-02,-3.721857297327E-05
-7.3400E-08,1.847497238778E-02,-3.652716822083E-05
-7.3200E-08,1.850441615097E-02,-3.091766720730E-05
-7.3000E-08,1.875027739443E-02,-2.951747973542E-05
-7.2800E-08,1.877021375112E-02,-3.003819001000E-05
-7.2600E-08,1.864778953604E-02,-3.114483825024E-05
-7.2400E-08,1.870739604346E-02,-2.965678128506E-05
-7.2200E-08,1.887404457666E-02,-3.017447216529E-05
-7.2000E-08,1.869123014621E-02,-2.548689533117E-05
-7.1800E-08,1.839780160226E-02,-2.186233539227E-05
-7.1600E-08,1.827653502114E-02,-2.544780404399E-05
-7.1400E-08,1.860941858031E-02,-2.472994851972E-05
-7.1200E-08,1.888064392842E-02,-2.987669993284E-05
-7.1000E-08,1.901903473772E-02,-3.613385006878E-05
-7.0800E-08,1.895461934619E-02,-3.372113465424E-05
-7.0600E-08,1.859245826490E-02,-3.070875143725E-05
-7.0400E-08,1.875209859572E-02,-3.089754765946E-05
-7.0200E-08,1.875418103300E-02,-2.855923509318E-05
-7.0000E-08,1.870149192400E-02,-2.898759430367E-05
-6.9800E-08,1.872236845084E-02,-3.179122259001E-05
-6.9600E-08,1.890711584128E-02,-3.022289944905E-05
-6.9400E-08,1.866510934196E-02,-3.007565828133E-05
-6.9200E-08,1.855159928091E-02,-2.617621648218E-05
-6.9000E-08,1.867320300080E-02,-1.850870212632E-05
-6.8800E-08,1.871357164346E-02,-2.045067714620E-05
-6.8600E-08,1.872159126215E-02,-2.214949222374E-05
-6.8400E-08,1.877726898529E-02,-2.351528199482E-05
-6.8200E-08,1.873982935213E-02,-2.429763412195E-05
-6.8000E-08,1.853125174530E-02,-2.362448464240E-05
-6.7800E-08,1.820905278437E-02,-2.454931855294E-05
-6.7600E-08,1.837920728140E-02,-2.694595733750E-05
-6.7400E-08,1.860074424185E-02,-2.579162021260E-05
-6.7200E-08,1.896224129014E-02,-2.786579060461E-05
-6.7000E-08,1.876349658705E-02,-2.309881758969E-05
-6.6800E-08,1.882198224775E-02,-2.195528594869E-05
-6.6600E-08,1.891536596231E-02,-2.824997746478E-05
-6.6400E-08,1.877317256294E-02,-3.233855909760E-05
-6.6200E-08,1.869134888984E-02,-2.132089876662E-05
-6.6000E-08,1.843036017381E-02,-1.678446711133E-05
-6.5800E-08,1.845676177181E-02,-1.935235600080E-05
-6.5600E-08,1.870284932666E-02,-2.217728088702E-05
-6.5400E-08,1.886287522502E-02,-2.188383669685E-05
-6.5200E-08,1.877138162963E-02,-2.142593421134E-05
-6.5000E-08,1.900600926019E-02,-2.096023101452E-05
-6.4800E-08,1.908478331752E-02,-1.875006359163E-05
-6.4600E-08,1.889438093640E-02,-2.246728896256E-05
-6.4400E-08,1.903593032621E-02,-2.406869384553E-05
-6.4200E-08,1.911742710508E-02,-1.944747788924E-05
-6.4000E-08,1.882697879337E-02,-1.650001530628E-05
-6.3800E-08,1.877769925632E-02,-1.736260436568E-05
-6.3600E-08,1.867285096087E-02,-1.778436916041E-05
-6.3400E-08,1.877593207173E-02,-2.135513562801E-05
-6.3200E-08,1.884065526538E-02,-2.637487508449E-05
-6.3000E-08,1.843049009331E-02,-2.478326678368E-05
-6.2800E-08,1.833271472715E-02,-2.278374780993E-05
-6.2600E-08,1.817227392457E-02,-1.978934205230E-05
-6.2400E-08,1.851191981696E-02,-1.956530006695E-05
-6.2200E-08,1.872334820218E-02,-2.083306552935E-05
-6.2000E-08,1.838304433040E-02,-2.067226998600E-05
-6.1800E-08,1.854334869422E-02,-1.766750470828E-05
-6.1600E-08,1.895168940537E-02,-1.746478856634E-05
-6.1400E-08,1.889914465137E-02,-2.365916746761E-05
-6.1200E-08,1.887381593697E-02,-2.600227597262E-05
-6.1000E-08,1.874598166905E-02,-2.335224201064E-05
-6.0800E-08,1.885468517430E-02,-1.751621331181E-05
-6.0600E-08,1.883461470716E-02,-1.423959287907E-05
-6.0400E-08,1.870174990036E-02,-1.506076579075E-05
-6.0200E-08,1.852990644984E-02,-1.676520293671E-05
-6.0000E-08,1.869748583995E-02,-1.436994590889E-05
-5.9800E-08,1.895236414857E-02,-1.379474031831E-05
-5.9600E-08,1.918481388129E-02,-1.543805848899E-05
-5.9400E-08,1.906443857588E-02,-1.782604849990E-05
-5.9200E-08,1.867935019545E-02,-1.376199487689E-05
-5.9000E-08,1.860861624591E-02,-1.070994281302E-05
-5.8800E-08,1.860056449659E-02,-1.071312304679E-05
-5.8600E-08,1.856926786713E-02,-9.444472967640E-06
-5.8400E-08,1.856968603097E-02,-1.261132050398E-05
-5.8200E-08,1.853909860365E-02,-1.733849307615E-05
-5.8000E-08,1.869905046187E-02,-1.361310876067E-05
-5.7800E-08,1.897764443420E-02,-1.239180395472E-05
-5.7600E-08,1.914876145311E-02,-1.708267799671E-05
