in s,C1 in V,C3 in V
-9.2000E-08,1.539608701132E-02,8.274048482075E-06
-9.1800E-08,1.536394474097E-02,7.458805766894E-06
-9.1600E-08,1.540015316568E-02,7.889101010754E-06
-9.1400E-08,1.554763042368E-02,8.899827635854E-06
-9.1200E-08,1.549852737226E-02,7.641545225872E-06
-9.1000E-08,1.541252532043E-02,6.546841244220E-06
-9.0800E-08,1.567134312354E-02,8.010619794026E-06
-9.0600E-08,1.528978771530E-02,1.342243408692E-05
-9.0400E-08,1.524421484210E-02,1.751508238633E-05
-9.0200E-08,1.539007998072E-02,8.725444515242E-06
-9.0000E-08,1.565333786421E-02,4.687209994539E-06
-8.9800E-08,1.570919486694E-02,1.002049954516E-05
-8.9600E-08,1.535653467290E-02,1.268448010926E-05
-8.9400E-08,1.521553010680E-02,8.528671375482E-06
-8.9200E-08,1.557538756169E-02,5.113542926505E-06
-8.9000E-08,1.565873627551E-02,8.051106342121E-06
-8.8800E-08,1.541346968152E-02,8.570482636808E-06
-8.8600E-08,1.507515558042E-02,4.669066154405E-06
-8.8400E-08,1.524115824141E-02,5.629146154046E-06
-8.8200E-08,1.542254262604E-02,5.704335457652E-06
-8.8000E-08,1.551759527065E-02,8.860766337260E-06
-8.7800E-08,1.551639852114E-02,6.910072880804E-06
-8.7600E-08,1.559057557024E-02,1.015903261398E-05
-8.7400E-08,1.535776867531E-02,1.567768148054E-05
-8.7200E-08,1.519381352700E-02,1.438962259237E-05
-8.7000E-08,1.539776711725E-02,9.673625751406E-06
-8.6800E-08,1.537504284643E-02,6.221529523849E-06
-8.6600E-08,1.547985342331E-02,2.067429906695E-06
-8.6400E-08,1.536719412543E-02,4.800650392666E-06
-8.6200E-08,1.504269712605E-02,6.736529533757E-06
-8.6000E-08,1.533727771603E-02,5.859386044561E-06
-8.5800E-08,1.559868273325E-02,4.853709888650E-06
-8.5600E-08,1.554680992849E-02,5.939259155660E-06
-8.5400E-08,1.543871690519E-02,7.185666457757E-06
-8.5200E-08,1.545729818754E-02,7.245473711759E-06
-8.5000E-08,1.537740514614E-02,6.289870533168E-06
-8.4800E-08,1.525486591272E-02,7.861228807837E-06
-8.4600E-08,1.533298338763E-02,6.861123544170E-06
-8.4400E-08,1.538028013892E-02,5.889115211561E-06
-8.4200E-08,1.553656258620E-02,6.114943333909E-06
-8.4000E-08,1.560175796039E-02,8.162695690065E-06
-8.3800E-08,1.543280673213E-02,7.088743577717E-06
-8.3600E-08,1.530806445517E-02,8.051928373993E-06
-8.3400E-08,1.534024677239E-02,3.227340531542E-06
-8.3200E-08,1.529152463190E-02,5.136773074104E-07
-8.3000E-08,1.539965304546E-02,1.985889076262E-06
-8.2800E-08,1.520088925026E-02,3.438981211750E-06
-8.2600E-08,1.537277228199E-02,3.838417734027E-06
-8.2400E-08,1.558594270609E-02,9.507888750180E-06
-8.2200E-08,1.545411399566E-02,1.210106812325E-05
-8.2000E-08,1.516491412185E-02,1.010343605560E-05
-8.1800E-08,1.498264032416E-02,1.211361741555E-05
-8.1600E-08,1.509545096196E-02,1.353799166065E-05
-8.1400E-08,1.523439078592E-02,1.038232958783E-05
-8.1200E-08,1.552322511561E-02,1.013050988224E-05
-8.1000E-08,1.521808844991E-02,9.828765046790E-06
