in s,C1 in V,C3 in V
-9.2000E-08,1.11270761350E-02,-7.789555684943E-05
-9.1800E-08,1.11664112424E-02,-7.483913837280E-05
-9.1600E-08,1.12186318962E-02,-7.644770968985E-05
-9.1400E-08,1.12179664662E-02,-7.732468041871E-05
-9.1200E-08,1.13754042191E-02,-7.403634585720E-05
-9.1000E-08,1.12889053067E-02,-7.145109567140E-05
-9.0800E-08,1.11835492076E-02,-7.663675848674E-05
-9.0600E-08,1.11631984124E-02,-7.717654373776E-05
-9.0400E-08,1.12211664906E-02,-6.914656198863E-05
-9.0200E-08,1.13167227479E-02,-6.765126105678E-05
-9.0000E-08,1.13804813242E-02,-7.190184452851E-05
-8.9800E-08,1.13478845684E-02,-7.184805194196E-05
-8.9600E-08,1.13754731370E-02,-7.442608433124E-05
-8.9400E-08,1.13203774905E-02,-7.359092160408E-05
-8.9200E-08,1.12219709205E-02,-7.126098195371E-05
-8.9000E-08,1.12485795049E-02,-7.322288159561E-05
-8.8800E-08,1.13319265889E-02,-7.545183407423E-05
-8.8600E-08,1.13274583360E-02,-6.722925379221E-05
-8.8400E-08,1.12043780042E-02,-6.591946319025E-05
-8.8200E-08,1.11500623403E-02,-6.760789229814E-05
-8.8000E-08,1.12396683777E-02,-7.174531807471E-05
-8.7800E-08,1.11013956135E-02,-6.839773672913E-05
-8.7600E-08,1.09643466072E-02,-6.330774211604E-05
-8.7400E-08,1.10551929334E-02,-6.416855309438E-05
-8.7200E-08,1.10848811688E-02,-6.419439855311E-05
-8.7000E-08,1.10697522992E-02,-6.388096813392E-05
-8.6800E-08,1.11805575667E-02,-6.631308947038E-05
-8.6600E-08,1.13334905123E-02,-6.451290565823E-05
-8.6400E-08,1.13383087097E-02,-5.761645603273E-05
-8.6200E-08,1.12059321487E-02,-5.674324351643E-05
-8.6000E-08,1.11649569822E-02,-6.260504088644E-05
-8.5800E-08,1.12376087578E-02,-6.585574824643E-05
-8.5600E-08,1.12540750066E-02,-6.454644784611E-05
-8.5400E-08,1.11785121495E-02,-5.648972475250E-05
