in s,C1 in V,C3 in V
-6.0000E-08,1.17201002082E-02,-5.432108476292E-05
-5.9800E-08,1.17932975059E-02,-5.334772880655E-05
-5.9600E-08,1.18000263115E-02,-5.526876508724E-05
-5.9400E-08,1.17536732228E-02,-5.441327638458E-05
-5.9200E-08,1.17345347768E-02,-5.259243877139E-05
-5.9000E-08,1.17436051602E-02,-5.288519140798E-05
-5.8800E-08,1.18461449398E-02,-5.066255050245E-05
-5.8600E-08,1.18084883085E-02,-5.114970624912E-05
-5.8400E-08,1.15803834284E-02,-5.637653324287E-05
-5.8200E-08,1.15626955172E-02,-5.889982766006E-05
-5.8000E-08,1.17173926206E-02,-5.831303506624E-05
-5.7800E-08,1.16607267642E-02,-5.615889642853E-05
-5.7600E-08,1.14153537666E-02,-5.933476508129E-05
-5.7400E-08,1.14533221582E-02,-5.924187450204E-05
-5.7200E-08,1.16704083281E-02,-5.743324652780E-05
-5.7000E-08,1.17279615020E-02,-5.579281517770E-05
-5.6800E-08,1.17506527109E-02,-5.985392689239E-05
-5.6600E-08,1.18000745075E-02,-5.650988373440E-05
-5.6400E-08,1.17193064885E-02,-5.606236950029E-05
-5.6200E-08,1.17269638227E-02,-5.755545351189E-05
-5.6000E-08,1.18040116737E-02,-5.577964115422E-05
-5.5800E-08,1.17528282804E-02,-5.548517209012E-05
-5.5600E-08,1.17442033021E-02,-6.029382337350E-05
-5.5400E-08,1.16375100566E-02,-6.021556666586E-05
-5.5200E-08,1.16274266271E-02,-5.947595451493E-05
-5.5000E-08,1.17322234670E-02,-5.941394193563E-05
-5.4800E-08,1.17070868379E-02,-5.917917181272E-05
-5.4600E-08,1.16610510973E-02,-5.603255320806E-05
-5.4400E-08,1.18397451239E-02,-5.713908712845E-05
-5.4200E-08,1.18049541721E-02,-5.915245659184E-05
-5.4000E-08,1.16969058523E-02,-6.221954886336E-05
-5.3800E-08,1.16309253732E-02,-5.885894748848E-05
-5.3600E-08,1.16723270854E-02,-5.818024197127E-05
-5.3400E-08,1.16074856138E-02,-6.012479950208E-05
-5.3200E-08,1.16532400949E-02,-6.229282881599E-05
-5.3000E-08,1.17110640509E-02,-5.895722623449E-05
-5.2800E-08,1.17346318671E-02,-5.998000026215E-05
-5.2600E-08,1.17456431268E-02,-5.817891926039E-05
-5.2400E-08,1.17301526712E-02,-5.770365906413E-05
-5.2200E-08,1.16340527544E-02,-5.825028813910E-05
-5.2000E-08,1.15767959738E-02,-6.064081158023E-05
-5.1800E-08,1.15379547002E-02,-5.967983779032E-05
-5.1600E-08,1.16151140770E-02,-5.802250316832E-05
-5.1400E-08,1.17312930757E-02,-5.795716832857E-05
-5.1200E-08,1.17658570176E-02,-5.814062700141E-05
-5.1000E-08,1.15901441546E-02,-5.676932086702E-05
-5.0800E-08,1.15554649616E-02,-5.751698430162E-05
-5.0600E-08,1.16205073660E-02,-5.764694175217E-05
-5.0400E-08,1.16557737580E-02,-5.773889448959E-05
-5.0200E-08,1.16511578904E-02,-6.295890885871E-05
-5.0000E-08,1.15946887759E-02,-6.114684802946E-05
-4.9800E-08,1.15681642434E-02,-5.583342992235E-05
-4.9600E-08,1.17545798654E-02,-6.188487204257E-05
-4.9400E-08,1.19011777220E-02,-6.464128208812E-05
-4.9200E-08,1.17361890385E-02,-6.261937472503E-05
-4.9000E-08,1.15919483593E-02,-6.333190005738E-05
-4.8800E-08,1.17337729549E-02,-6.472091901582E-05
-4.8600E-08,1.17347412976E-02,-6.372891681734E-05
-4.8400E-08,1.16722542094E-02,-6.086970249656E-05
-4.8200E-08,1.16331333062E-02,-5.611883465666E-05
-4.8000E-08,1.17182811024E-02,-6.016704662237E-05
-4.7800E-08,1.17796045030E-02,-6.123176695313E-05
-4.7600E-08,1.16531301988E-02,-6.210421643685E-05
-4.7400E-08,1.16808989784E-02,-6.240941759664E-05
-4.7200E-08,1.18143642554E-02,-6.314581365790E-05
-4.7000E-08,1.16704835324E-02,-5.805513298605E-05
-4.6800E-08,1.17103464669E-02,-6.011189975310E-05
-4.6600E-08,1.17670279229E-02,-6.415402901824E-05
-4.6400E-08,1.17242506472E-02,-6.404715043958E-05
-4.6200E-08,1.16846442921E-02,-5.840143993031E-05
-4.6000E-08,1.16189583438E-02,-5.697845959570E-05
-4.5800E-08,1.16537753725E-02,-5.862606189679E-05
-4.5600E-08,1.16491546156E-02,-6.059843617026E-05
-4.5400E-08,1.15714587970E-02,-5.863029988017E-05
-4.5200E-08,1.15870605456E-02,-6.012338389177E-05
-4.5000E-08,1.16444721585E-02,-5.533400702756E-05
-4.4800E-08,1.17163604824E-02,-5.613315886352E-05
-4.4600E-08,1.17057974217E-02,-5.957659113686E-05
-4.4400E-08,1.17775025079E-02,-5.619542802218E-05
-4.4200E-08,1.17706668330E-02,-5.049008050468E-05
-4.4000E-08,1.16399419727E-02,-5.335012207273E-05
-4.3800E-08,1.17812536424E-02,-5.901026295963E-05
-4.3600E-08,1.18073744467E-02,-6.112640573177E-05
-4.3400E-08,1.16019300418E-02,-6.173111021984E-05
-4.3200E-08,1.17023217259E-02,-5.993454589974E-05
-4.3000E-08,1.17921445286E-02,-5.560567591805E-05
-4.2800E-08,1.16676045815E-02,-5.810224184301E-05
