in s,C1 in V,C3 in V
-6.0000E-08,1.25539433444E-02,-7.152739456017E-05
-5.9800E-08,1.26246996457E-02,-7.399574830290E-05
-5.9600E-08,1.24724861467E-02,-7.492207260896E-05
-5.9400E-08,1.24680772657E-02,-6.967916800734E-05
-5.9200E-08,1.24688928714E-02,-6.955833151099E-05
-5.9000E-08,1.24537938042E-02,-7.481189603079E-05
-5.8800E-08,1.25023094239E-02,-7.105310047139E-05
-5.8600E-08,1.25975765055E-02,-6.918273200374E-05
-5.8400E-08,1.25705630286E-02,-7.024224205036E-05
-5.8200E-08,1.22893334134E-02,-7.082836590801E-05
-5.8000E-08,1.23185431818E-02,-7.198127219547E-05
-5.7800E-08,1.24049580423E-02,-7.572826505732E-05
-5.7600E-08,1.24262823025E-02,-7.116412622948E-05
-5.7400E-08,1.25414515147E-02,-6.957601523120E-05
-5.7200E-08,1.25018991763E-02,-7.095025484543E-05
-5.7000E-08,1.24521779595E-02,-7.130033378583E-05
-5.6800E-08,1.23291912256E-02,-7.149168383423E-05
-5.6600E-08,1.24280271353E-02,-7.367406720389E-05
-5.6400E-08,1.24537647003E-02,-6.988255563285E-05
-5.6200E-08,1.23240978224E-02,-6.877282653097E-05
-5.6000E-08,1.23516328400E-02,-6.984995254409E-05
-5.5800E-08,1.23278284678E-02,-7.236624881718E-05
-5.5600E-08,1.22240281431E-02,-7.163386726845E-05
-5.5400E-08,1.22564356076E-02,-6.855902741757E-05
-5.5200E-08,1.23320454964E-02,-7.447544462141E-05
-5.5000E-08,1.23959335266E-02,-7.805009009410E-05
-5.4800E-08,1.23522971058E-02,-7.089054123592E-05
-5.4600E-08,1.23142001918E-02,-7.057251432073E-05
-5.4400E-08,1.23581590829E-02,-7.382545610983E-05
-5.4200E-08,1.23551124940E-02,-7.086578854453E-05
-5.4000E-08,1.23914035736E-02,-7.167810141202E-05
-5.3800E-08,1.23493753141E-02,-7.334092217591E-05
-5.3600E-08,1.24292529887E-02,-7.547713364568E-05
-5.3400E-08,1.24052425614E-02,-7.300632721838E-05
-5.3200E-08,1.23289360432E-02,-6.973160035070E-05
-5.3000E-08,1.23353144387E-02,-7.304865070712E-05
-5.2800E-08,1.21995287715E-02,-7.708445959818E-05
-5.2600E-08,1.22163756983E-02,-7.265989794489E-05
-5.2400E-08,1.23059407575E-02,-6.930693360139E-05
-5.2200E-08,1.24086183729E-02,-7.489749156032E-05
-5.2000E-08,1.25350204995E-02,-7.766472050082E-05
-5.1800E-08,1.25264704926E-02,-7.261033835914E-05
-5.1600E-08,1.25381644117E-02,-7.028564508166E-05
-5.1400E-08,1.24210331356E-02,-7.189251482580E-05
-5.1200E-08,1.22142392443E-02,-7.220422257763E-05
-5.1000E-08,1.21892192634E-02,-6.977621843200E-05
-5.0800E-08,1.22931665042E-02,-6.966446996760E-05
-5.0600E-08,1.24814524548E-02,-7.118893764075E-05
-5.0400E-08,1.24318811810E-02,-7.533143605199E-05
-5.0200E-08,1.23518470442E-02,-7.654051468801E-05
-5.0000E-08,1.24472081894E-02,-7.163508683536E-05
-4.9800E-08,1.24541260535E-02,-7.059223516937E-05
-4.9600E-08,1.24440011801E-02,-7.565621123743E-05
-4.9400E-08,1.24487832887E-02,-7.750877854508E-05
-4.9200E-08,1.23957589036E-02,-7.499796580617E-05
-4.9000E-08,1.24083801871E-02,-7.309041861538E-05
-4.8800E-08,1.24802282313E-02,-7.365329843108E-05
-4.8600E-08,1.24392276863E-02,-7.099946211185E-05
-4.8400E-08,1.23418676900E-02,-7.404084517714E-05
-4.8200E-08,1.23679165496E-02,-7.767030340713E-05
-4.8000E-08,1.24885968631E-02,-7.573636388499E-05
-4.7800E-08,1.24239786761E-02,-7.223352380190E-05
-4.7600E-08,1.23556510312E-02,-7.398287057970E-05
-4.7400E-08,1.23574331170E-02,-7.264554770757E-05
-4.7200E-08,1.22921418166E-02,-7.393859126698E-05
-4.7000E-08,1.23666306259E-02,-7.385422885511E-05
-4.6800E-08,1.25284618931E-02,-7.049182867725E-05
-4.6600E-08,1.25173980137E-02,-6.848209081311E-05
-4.6400E-08,1.24406081391E-02,-7.312915567402E-05
-4.6200E-08,1.25050433213E-02,-7.589940643031E-05
-4.6000E-08,1.24498403398E-02,-7.501810672786E-05
-4.5800E-08,1.23808612349E-02,-7.527030413132E-05
-4.5600E-08,1.24482456828E-02,-7.613113769423E-05
-4.5400E-08,1.23853553319E-02,-7.331097954977E-05
-4.5200E-08,1.23413272901E-02,-7.246678629983E-05
-4.5000E-08,1.24242066173E-02,-7.084391312767E-05
-4.4800E-08,1.22264318867E-02,-7.066167821270E-05
-4.4600E-08,1.23075142270E-02,-7.483969312255E-05
-4.4400E-08,1.25086971326E-02,-7.509482652042E-05
-4.4200E-08,1.24665131094E-02,-7.406099061575E-05
-4.4000E-08,1.24536301242E-02,-7.434919234459E-05
-4.3800E-08,1.24284962891E-02,-7.754832864832E-05
-4.3600E-08,1.24537467724E-02,-7.771914028656E-05
-4.3400E-08,1.23391433386E-02,-7.714619678539E-05
-4.3200E-08,1.22115484206E-02,-7.697309958842E-05
-4.3000E-08,1.22287145583E-02,-7.345982091595E-05
-4.2800E-08,1.23139606090E-02,-7.073294608947E-05
-4.2600E-08,1.23604175402E-02,-7.028547795583E-05
-4.2400E-08,1.23537052656E-02,-7.166822743696E-05
-4.2200E-08,1.23342150124E-02,-7.108283983637E-05
-4.2000E-08,1.22661460424E-02,-7.129507609736E-05
-4.1800E-08,1.21971795103E-02,-7.132259765733E-05
-4.1600E-08,1.24137557810E-02,-6.836136723962E-05
-4.1400E-08,1.26018245006E-02,-7.349906386901E-05
-4.1200E-08,1.25287936768E-02,-7.470085672196E-05
