in s,C1 in V,C3 in V
-8.0000E-08,4.33231565403E-02,-1.133994782874E-04
-7.9800E-08,4.27682698937E-02,-1.163873753110E-04
-7.9600E-08,4.34242702322E-02,-1.188368201321E-04
-7.9400E-08,4.38311697217E-02,-1.160793708237E-04
-7.9200E-08,4.38223535893E-02,-1.145665662428E-04
-7.9000E-08,4.37599631259E-02,-1.168206263864E-04
-7.8800E-08,4.30683257291E-02,-1.174844993809E-04
-7.8600E-08,4.42140434170E-02,-1.106336371573E-04
-7.8400E-08,4.46751377312E-02,-1.108701039171E-04
-7.8200E-08,4.36763454927E-02,-1.145143531328E-04
-7.8000E-08,4.32275492931E-02,-1.116965331668E-04
-7.7800E-08,4.37466382282E-02,-1.098740661582E-04
-7.7600E-08,4.37732088612E-02,-1.119223794965E-04
-7.7400E-08,4.32789990446E-02,-1.146885750415E-04
-7.7200E-08,4.36464744853E-02,-1.116140145874E-04
-7.7000E-08,4.41014441894E-02,-1.091893307464E-04
-7.6800E-08,4.39356571296E-02,-1.075336189074E-04
-7.6600E-08,4.35858116252E-02,-1.049437837740E-04
-7.6400E-08,4.38150473638E-02,-1.083197289677E-04
-7.6200E-08,4.38338367967E-02,-1.081433385210E-04
-7.6000E-08,4.39344196348E-02,-1.099553593034E-04
-7.5800E-08,4.40464891726E-02,-1.052460455401E-04
-7.5600E-08,4.37890215544E-02,-1.054835875584E-04
-7.5400E-08,4.32770781917E-02,-1.063363035740E-04
-7.5200E-08,4.36746062478E-02,-1.086387563562E-04
-7.5000E-08,4.40224750200E-02,-1.120388798481E-04
-7.4800E-08,4.38792783534E-02,-1.099574137079E-04
-7.4600E-08,4.39880323829E-02,-1.023371229479E-04
-7.4400E-08,4.39868565882E-02,-1.033668781696E-04
-7.4200E-08,4.36541532399E-02,-1.070126231359E-04
-7.4000E-08,4.34518350521E-02,-1.019038358303E-04
-7.3800E-08,4.37982265139E-02,-1.012141986815E-04
-7.3600E-08,4.38928477233E-02,-1.070740570379E-04
-7.3400E-08,4.34650342213E-02,-1.051518733213E-04
-7.3200E-08,4.31132410886E-02,-1.024481208595E-04
-7.3000E-08,4.31689178804E-02,-1.044694386022E-04
-7.2800E-08,4.37438454246E-02,-1.048746008025E-04
-7.2600E-08,4.42655490479E-02,-1.009088252736E-04
-7.2400E-08,4.36284475727E-02,-1.013377152449E-04
-7.2200E-08,4.39315721160E-02,-1.024784323359E-04
-7.2000E-08,4.45154927438E-02,-1.054278843636E-04
-7.1800E-08,4.46450501913E-02,-1.030048764842E-04
-7.1600E-08,4.41106572980E-02,-9.962214334588E-05
-7.1400E-08,4.40321887145E-02,-1.037482345076E-04
-7.1200E-08,4.41281673266E-02,-1.049533770019E-04
-7.1000E-08,4.37413122272E-02,-1.045292265778E-04
-7.0800E-08,4.32636368787E-02,-1.042458689371E-04
-7.0600E-08,4.32458881987E-02,-1.043639911870E-04
-7.0400E-08,4.40642704489E-02,-1.033031075327E-04
-7.0200E-08,4.40621563466E-02,-1.009587196698E-04
-7.0000E-08,4.36523779063E-02,-1.049691334432E-04
-6.9800E-08,4.38120217295E-02,-1.022461164342E-04
-6.9600E-08,4.39793803962E-02,-1.012350791199E-04
-6.9400E-08,4.33788275113E-02,-9.843332796078E-05
-6.9200E-08,4.34144133469E-02,-9.872666928638E-05
-6.9000E-08,4.38842003932E-02,-1.018856405346E-04
-6.8800E-08,4.43556999089E-02,-1.048289173348E-04
-6.8600E-08,4.42012039712E-02,-1.031796390256E-04
-6.8400E-08,4.41533491248E-02,-1.061450337125E-04
-6.8200E-08,4.41224455135E-02,-1.036899723178E-04
-6.8000E-08,4.42264730809E-02,-1.004123441940E-04
-6.7800E-08,4.36159457313E-02,-9.920832501445E-05
-6.7600E-08,4.36295826221E-02,-9.713132810499E-05
-6.7400E-08,4.36701766448E-02,-9.911071677413E-05
-6.7200E-08,4.43722925847E-02,-1.035810047826E-04
-6.7000E-08,4.41108924570E-02,-1.001739792125E-04
-6.6800E-08,4.39709589118E-02,-9.726079763565E-05
-6.6600E-08,4.36932268785E-02,-9.793103808258E-05
-6.6400E-08,4.38002661103E-02,-1.006263086172E-04
-6.6200E-08,4.37615440460E-02,-1.011357949181E-04
-6.6000E-08,4.31590842782E-02,-1.013593585761E-04
-6.5800E-08,4.39422788331E-02,-1.030124693708E-04
-6.5600E-08,4.41303000553E-02,-1.066086262995E-04
-6.5400E-08,4.39544616966E-02,-1.042750030356E-04
-6.5200E-08,4.37008404406E-02,-1.010723486608E-04
-6.5000E-08,4.31699970504E-02,-9.981803261395E-05
-6.4800E-08,4.34223202756E-02,-1.024908428611E-04
-6.4600E-08,4.38385679154E-02,-1.069624163741E-04
-6.4400E-08,4.37002700055E-02,-1.058384889336E-04
-6.4200E-08,4.34276195010E-02,-1.008426758526E-04
-6.4000E-08,4.34427756118E-02,-1.012373738056E-04
-6.3800E-08,4.38733795891E-02,-9.995257808547E-05
-6.3600E-08,4.44269169820E-02,-1.028290026421E-04
-6.3400E-08,4.44165362278E-02,-1.039781776322E-04
-6.3200E-08,4.38140194165E-02,-1.079244243046E-04
-6.3000E-08,4.36831988627E-02,-1.078703850573E-04
-6.2800E-08,4.35459289001E-02,-1.081020401856E-04
-6.2600E-08,4.36267700279E-02,-1.054306536047E-04
