in s,C1 in V,C3 in V
-6.0000E-08,1.13393138396E-02,-2.53638489516E-05
-5.9800E-08,1.12249504542E-02,-2.47793994257E-05
-5.9600E-08,1.15447747754E-02,-2.40429711407E-05
-5.9400E-08,1.15319388220E-02,-2.07031186549E-05
-5.9200E-08,1.14340810338E-02,-1.66354789278E-05
-5.9000E-08,1.13796531456E-02,-1.58006173437E-05
-5.8800E-08,1.14469134947E-02,-1.88328528190E-05
-5.8600E-08,1.14581557224E-02,-2.22734138714E-05
-5.8400E-08,1.14943606546E-02,-2.71879546223E-05
-5.8200E-08,1.13770722179E-02,-2.02909885319E-05
-5.8000E-08,1.13482566318E-02,-1.52633516463E-05
-5.7800E-08,1.12583975075E-02,-1.67881995318E-05
-5.7600E-08,1.14512332017E-02,-2.16289122002E-05
-5.7400E-08,1.15514404839E-02,-2.12854421111E-05
-5.7200E-08,1.14420387195E-02,-2.10092726974E-05
-5.7000E-08,1.13767646486E-02,-2.12104618894E-05
-5.6800E-08,1.13619638374E-02,-1.98701261887E-05
-5.6600E-08,1.14228760591E-02,-1.87898713974E-05
-5.6400E-08,1.13236899721E-02,-1.76916133957E-05
-5.6200E-08,1.11837368691E-02,-1.55134570198E-05
-5.6000E-08,1.12221690593E-02,-1.85130264489E-05
-5.5800E-08,1.12020150060E-02,-2.34034593096E-05
-5.5600E-08,1.13858196652E-02,-2.82190570021E-05
-5.5400E-08,1.14471097710E-02,-2.68850539224E-05
-5.5200E-08,1.13453185419E-02,-1.97055236315E-05
-5.5000E-08,1.12914466532E-02,-1.21551122861E-05
-5.4800E-08,1.12234864151E-02,-1.80382497953E-05
-5.4600E-08,1.12919542240E-02,-2.05086682336E-05
-5.4400E-08,1.13574678777E-02,-2.18603927055E-05
-5.4200E-08,1.14891042700E-02,-2.25731358277E-05
-5.4000E-08,1.14169167588E-02,-2.50871532010E-05
-5.3800E-08,1.13732882543E-02,-2.53793240869E-05
-5.3600E-08,1.13348947139E-02,-2.13121319534E-05
-5.3400E-08,1.12598631764E-02,-1.70560553083E-05
-5.3200E-08,1.12102378858E-02,-1.77501859954E-05
-5.3000E-08,1.13514266210E-02,-2.04348111404E-05
-5.2800E-08,1.14152336260E-02,-1.80597757334E-05
-5.2600E-08,1.14268518751E-02,-1.68382927189E-05
-5.2400E-08,1.14175172290E-02,-1.94536403166E-05
-5.2200E-08,1.13951748004E-02,-2.16330441525E-05
-5.2000E-08,1.13592252834E-02,-2.17364631472E-05
-5.1800E-08,1.13114738138E-02,-2.03834787821E-05
-5.1600E-08,1.13377482863E-02,-2.24204691006E-05
-5.1400E-08,1.12158453790E-02,-2.13179382375E-05
-5.1200E-08,1.12231434556E-02,-2.00563582936E-05
-5.1000E-08,1.12585716648E-02,-2.22928924831E-05
-5.0800E-08,1.13661221927E-02,-2.43052858738E-05
-5.0600E-08,1.13894257462E-02,-1.63566363854E-05
-5.0400E-08,1.14695027238E-02,-1.71297176154E-05
-5.0200E-08,1.14185377257E-02,-1.64401208861E-05
-5.0000E-08,1.14197610179E-02,-1.55325253373E-05
-4.9800E-08,1.12879758468E-02,-1.52413656814E-05
-4.9600E-08,1.12860310124E-02,-2.08419597121E-05
-4.9400E-08,1.14690857241E-02,-2.17118952302E-05
-4.9200E-08,1.14887252217E-02,-1.95425083740E-05
-4.9000E-08,1.13741073525E-02,-1.56399436640E-05
-4.8800E-08,1.14032197976E-02,-2.10470529152E-05
-4.8600E-08,1.13572636852E-02,-2.57760951174E-05
-4.8400E-08,1.13099890528E-02,-2.36526031857E-05
