in s,C1 in V,C3 in V
-8.0000E-08,1.37372436235E-02,-1.173247917965E-04
-7.9800E-08,1.36842841981E-02,-1.215770508572E-04
-7.9600E-08,1.37190171750E-02,-1.275111767873E-04
-7.9400E-08,1.36931739049E-02,-1.290281559750E-04
-7.9200E-08,1.37199904071E-02,-1.256026744321E-04
-7.9000E-08,1.36714596534E-02,-1.221236828193E-04
-7.8800E-08,1.37394073186E-02,-1.187245573327E-04
-7.8600E-08,1.36381795397E-02,-1.235779754296E-04
-7.8400E-08,1.34430907434E-02,-1.240357212201E-04
-7.8200E-08,1.34977584472E-02,-1.259081433937E-04
-7.8000E-08,1.37005069060E-02,-1.230229492709E-04
-7.7800E-08,1.38206784846E-02,-1.240817915127E-04
-7.7600E-08,1.38079955010E-02,-1.225962064639E-04
-7.7400E-08,1.37404857902E-02,-1.174723043516E-04
-7.7200E-08,1.38105051825E-02,-1.179614833966E-04
-7.7000E-08,1.38002617983E-02,-1.238497971967E-04
-7.6800E-08,1.35320187779E-02,-1.212049602941E-04
-7.6600E-08,1.34684038581E-02,-1.257654420510E-04
-7.6400E-08,1.36068647495E-02,-1.214820470139E-04
-7.6200E-08,1.37533825124E-02,-1.159308935925E-04
-7.6000E-08,1.36479565641E-02,-1.082412149236E-04
-7.5800E-08,1.34960797383E-02,-1.151337656602E-04
-7.5600E-08,1.35941840941E-02,-1.154545679167E-04
-7.5400E-08,1.37678599218E-02,-1.150141268447E-04
-7.5200E-08,1.36045203777E-02,-1.146992623284E-04
-7.5000E-08,1.35221239412E-02,-1.214427906498E-04
-7.4800E-08,1.36446350021E-02,-1.211075156406E-04
-7.4600E-08,1.36458333815E-02,-1.215161948875E-04
-7.4400E-08,1.35800885269E-02,-1.214449420050E-04
-7.4200E-08,1.35593293468E-02,-1.212136439458E-04
-7.4000E-08,1.36772117345E-02,-1.156631163731E-04
-7.3800E-08,1.36900744634E-02,-1.172874677405E-04
-7.3600E-08,1.35868229205E-02,-1.136844250783E-04
-7.3400E-08,1.35067047318E-02,-1.121611874029E-04
-7.3200E-08,1.35800277581E-02,-1.179717316702E-04
-7.3000E-08,1.36485870695E-02,-1.188829127178E-04
-7.2800E-08,1.36314886855E-02,-1.139485801980E-04
-7.2600E-08,1.38162567979E-02,-1.127935841158E-04
-7.2400E-08,1.37924200622E-02,-1.117636482641E-04
-7.2200E-08,1.35354802711E-02,-1.110703173503E-04
-7.2000E-08,1.35764782550E-02,-1.093793913200E-04
-7.1800E-08,1.36691404274E-02,-1.086879301295E-04
-7.1600E-08,1.37660468696E-02,-1.104406039640E-04
-7.1400E-08,1.38011768227E-02,-1.128259013817E-04
-7.1200E-08,1.38469117461E-02,-1.108087907955E-04
-7.1000E-08,1.38568794588E-02,-1.086018368080E-04
-7.0800E-08,1.36607459513E-02,-1.087927989140E-04
-7.0600E-08,1.34458772605E-02,-1.146939817294E-04
-7.0400E-08,1.34627784370E-02,-1.116236928329E-04
-7.0200E-08,1.36006991612E-02,-1.151652458534E-04
-7.0000E-08,1.36525165522E-02,-1.088087424114E-04
-6.9800E-08,1.36989446124E-02,-1.100810460225E-04
